,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,10.0,5.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0
mean,6.25,100000.0,700000.0,700000.0,700000.0,700000.0,42267.8783919598,0.0,0.0,0.0,3359705.527638191,669127.6381909548,5017986.934673367,42266.41005025126
std,0.01999999999999987,0.0,0.0,0.0,0.0,0.0,621.363971757145,0.0,0.0,0.0,33852.66217026475,6797.945448713964,2845.9491757619085,622.1156839728181
min,6.23,100000.0,700000.0,700000.0,700000.0,700000.0,40407.0,0.0,0.0,0.0,2904000.0,578000.0,5010000.0,40407.0
25%,6.23,100000.0,700000.0,700000.0,700000.0,700000.0,41868.0,0.0,0.0,0.0,3355000.0,668000.0,5019000.0,41868.0
50%,6.25,100000.0,700000.0,700000.0,700000.0,700000.0,42355.0,0.0,0.0,0.0,3358000.0,669000.0,5019000.0,42355.0
75%,6.26,100000.0,700000.0,700000.0,700000.0,700000.0,42842.0,0.0,0.0,0.0,3366000.0,670000.0,5019000.0,42842.0
max,6.28,100000.0,700000.0,700000.0,700000.0,700000.0,43816.0,0.0,0.0,0.0,3473000.0,692000.0,5019000.0,43816.0
