power,island,task,time,howmany,frequency,time_rel
1636175.0,cpu,hash,,0,1199999,
1785235.0,cpu,hash,2.2016364973529403,1,1199999,0.1953354887678209
1915975.0,cpu,hash,2.230569726351429,2,1199999,0.1979025276204409
2047690.0,cpu,hash,2.20153447409902,3,1199999,0.195326436972852
2192679.67967968,cpu,hash,2.203741974257143,4,1199999,0.1955222927023788
