,time,Run_1,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,10.0,10.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,2.0023719773,10.0,100000.0,599999.0,599999.0,599999.0,599999.0,28.599050454,1615345.0,1586889.738
std,0.00011626415164048787,0.0,0.0,0.0,0.0,0.0,0.0,0.6253744989092103,12869.094318893953,10561.799383892007
min,2.002232317,10.0,100000.0,599999.0,599999.0,599999.0,599999.0,26.687382,1585000.0,1570838.0
25%,2.00225679775,10.0,100000.0,599999.0,599999.0,599999.0,599999.0,28.210599,1610000.0,1578148.75
50%,2.002419506,10.0,100000.0,599999.0,599999.0,599999.0,599999.0,28.599175,1610000.0,1586140.5
75%,2.0024440335,10.0,100000.0,599999.0,599999.0,599999.0,599999.0,28.972208,1623000.0,1593178.25
max,2.00256328,10.0,100000.0,599999.0,599999.0,599999.0,599999.0,30.72857,1698000.0,1667652.0
