howmany,policy,frequency,task,time_count,UPDATE_PERIOD_us_count,cpu_freq0_count,cpu_freq1_count,cpu_freq2_count,cpu_freq3_count,cpu_iio_temp_count,sensor_cpu_uW_count,sensor_ina226_CALC_uW_count,time_mean,UPDATE_PERIOD_us_mean,cpu_freq0_mean,cpu_freq1_mean,cpu_freq2_mean,cpu_freq3_mean,cpu_iio_temp_mean,sensor_cpu_uW_mean,sensor_ina226_CALC_uW_mean,time_std,UPDATE_PERIOD_us_std,cpu_freq0_std,cpu_freq1_std,cpu_freq2_std,cpu_freq3_std,cpu_iio_temp_std,sensor_cpu_uW_std,sensor_ina226_CALC_uW_std,time_min,UPDATE_PERIOD_us_min,cpu_freq0_min,cpu_freq1_min,cpu_freq2_min,cpu_freq3_min,cpu_iio_temp_min,sensor_cpu_uW_min,sensor_ina226_CALC_uW_min,time_25%,UPDATE_PERIOD_us_25%,cpu_freq0_25%,cpu_freq1_25%,cpu_freq2_25%,cpu_freq3_25%,cpu_iio_temp_25%,sensor_cpu_uW_25%,sensor_ina226_CALC_uW_25%,time_50%,UPDATE_PERIOD_us_50%,cpu_freq0_50%,cpu_freq1_50%,cpu_freq2_50%,cpu_freq3_50%,cpu_iio_temp_50%,sensor_cpu_uW_50%,sensor_ina226_CALC_uW_50%,time_75%,UPDATE_PERIOD_us_75%,cpu_freq0_75%,cpu_freq1_75%,cpu_freq2_75%,cpu_freq3_75%,cpu_iio_temp_75%,sensor_cpu_uW_75%,sensor_ina226_CALC_uW_75%,time_max,UPDATE_PERIOD_us_max,cpu_freq0_max,cpu_freq1_max,cpu_freq2_max,cpu_freq3_max,cpu_iio_temp_max,sensor_cpu_uW_max,sensor_ina226_CALC_uW_max
4,cpu,599999,cacherate-80,115.0,5.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,3.352766260441739,100000.0,599999.0,599999.0,599999.0,599999.0,29.34615911723447,2238289.579158317,2213265.508016032,0.4326074512574194,0.0,0.0,0.0,0.0,0.0,0.6274299876871895,35498.19258290774,34137.61571868054,3.1002038025,100000.0,599999.0,599999.0,599999.0,599999.0,27.511163,2023000.0,1999911.0,3.1128214977,100000.0,599999.0,599999.0,599999.0,599999.0,28.89837775,2235000.0,2206615.0,3.1148356795,100000.0,599999.0,599999.0,599999.0,599999.0,29.360783,2248000.0,2219410.5,3.1177002212,100000.0,599999.0,599999.0,599999.0,599999.0,29.749359,2261000.0,2230768.0,4.235189588,100000.0,599999.0,599999.0,599999.0,599999.0,31.381377,2323000.0,2293325.0
4,cpu,599999,decrypt,40.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,7.7623810499824994,100000.0,599999.0,599999.0,599999.0,599999.0,28.095860428,1897750.0,1872342.5,0.5178967733692943,0.0,0.0,0.0,0.0,0.0,0.6214978933074129,16392.443753516807,16223.706884157613,7.107513718,100000.0,599999.0,599999.0,599999.0,599999.0,26.143376,1660000.0,1643104.0,7.113733833,100000.0,599999.0,599999.0,599999.0,599999.0,27.697679,1898000.0,1871020.25,8.058574395499999,100000.0,599999.0,599999.0,599999.0,599999.0,28.086255,1898000.0,1873061.5,8.136407147625,100000.0,599999.0,599999.0,599999.0,599999.0,28.505917,1898000.0,1875075.75,8.41196221,100000.0,599999.0,599999.0,599999.0,599999.0,29.920332,1985000.0,1956670.0
4,cpu,599999,encrypt,40.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,7.7508579697275,100000.0,599999.0,599999.0,599999.0,599999.0,27.801646399,1896860.0,1869563.615,0.5058588872365902,0.0,0.0,0.0,0.0,0.0,0.5821534142306288,16432.968156801206,16273.190359276336,7.111566476,100000.0,599999.0,599999.0,599999.0,599999.0,25.739257,1660000.0,1644932.0,7.117400358275001,100000.0,599999.0,599999.0,599999.0,599999.0,27.402362,1898000.0,1868772.25,8.042427317,100000.0,599999.0,599999.0,599999.0,599999.0,27.775394,1898000.0,1870858.0,8.1174989555,100000.0,599999.0,599999.0,599999.0,599999.0,28.210599,1898000.0,1872720.75,8.38834233,100000.0,599999.0,599999.0,599999.0,599999.0,29.920332,1961000.0,1914789.0
4,cpu,599999,gzip-1,39.0,5.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0,9.520797470587178,100000.0,599999.0,599999.0,599999.0,599999.0,27.89847188128773,1940095.573440644,1915508.092555332,0.6092455521150297,0.0,0.0,0.0,0.0,0.0,0.5756590002510307,7260.781858416308,5221.484368313739,9.1082962958,100000.0,599999.0,599999.0,599999.0,599999.0,25.816972,1923000.0,1894558.0,9.1223852155,100000.0,599999.0,599999.0,599999.0,599999.0,27.511163,1936000.0,1912191.5,9.1275824888,100000.0,599999.0,599999.0,599999.0,599999.0,27.884195,1936000.0,1915044.5,10.155242158,100000.0,599999.0,599999.0,599999.0,599999.0,28.303857,1948000.0,1918115.75,11.1822337469,100000.0,599999.0,599999.0,599999.0,599999.0,29.842617,1961000.0,1933249.0
4,cpu,599999,gzip-5,39.0,5.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0,10.20372986712564,100000.0,599999.0,599999.0,599999.0,599999.0,28.100218525150908,1938563.38028169,1915113.958752515,0.0951930864065071,0.0,0.0,0.0,0.0,0.0,0.584244937241405,5951.846637052274,4194.724090410662,10.1006124752,100000.0,599999.0,599999.0,599999.0,599999.0,26.003489,1923000.0,1898558.0,10.15024198615,100000.0,599999.0,599999.0,599999.0,599999.0,27.728765,1936000.0,1912490.25,10.1644841982,100000.0,599999.0,599999.0,599999.0,599999.0,28.086255,1936000.0,1915201.0,10.2428615585,100000.0,599999.0,599999.0,599999.0,599999.0,28.490374,1936000.0,1917810.5,10.47718,100000.0,599999.0,599999.0,599999.0,599999.0,29.920332,1960000.0,1927795.0
4,cpu,599999,gzip-9,40.0,5.0,991.0,991.0,991.0,991.0,991.0,991.0,991.0,10.3370219133025,100000.0,599999.0,599999.0,599999.0,599999.0,28.067480851664985,1938516.6498486376,1913941.606458123,0.1873240684310931,0.0,0.0,0.0,0.0,0.0,0.5878216699248536,6533.014469452693,3895.526708402529,10.1035023901,100000.0,599999.0,599999.0,599999.0,599999.0,26.034575,1923000.0,1902330.0,10.2202451205,100000.0,599999.0,599999.0,599999.0,599999.0,27.65105,1936000.0,1911125.5,10.2834223905,100000.0,599999.0,599999.0,599999.0,599999.0,28.055169,1936000.0,1913923.0,10.4004770365,100000.0,599999.0,599999.0,599999.0,599999.0,28.474831,1948000.0,1916606.5,10.780800797,100000.0,599999.0,599999.0,599999.0,599999.0,29.780445,1960000.0,1927861.0
4,cpu,599999,hash,60.0,5.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0,5.3518519468850005,100000.0,599999.0,599999.0,599999.0,599999.0,27.98563168410463,1907773.641851107,1878381.444668008,0.2950872469273132,0.0,0.0,0.0,0.0,0.0,0.6006603485759623,7440.808344408998,5839.935980233803,5.1012917398,100000.0,599999.0,599999.0,599999.0,599999.0,25.708171,1773000.0,1747570.0,5.13103897005,100000.0,599999.0,599999.0,599999.0,599999.0,27.57722075,1911000.0,1875759.25,5.13458556685,100000.0,599999.0,599999.0,599999.0,599999.0,27.977454,1911000.0,1878126.0,5.651073021749999,100000.0,599999.0,599999.0,599999.0,599999.0,28.412658,1911000.0,1881175.25,5.927017951,100000.0,599999.0,599999.0,599999.0,599999.0,29.70273,1923000.0,1893153.0
4,cpu,599999,idle,200.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.002330497605,100000.0,599999.0,599999.0,599999.0,599999.0,27.317418843,1608720.0,1584062.984,0.0001534634637429,0.0,0.0,0.0,0.0,0.0,0.5855886954445695,15002.755836268305,10426.703483425395,2.00215705,100000.0,599999.0,599999.0,599999.0,599999.0,25.350682,1585000.0,1567043.0,2.0022120435,100000.0,599999.0,599999.0,599999.0,599999.0,26.93218525,1598000.0,1575997.75,2.002251249,100000.0,599999.0,599999.0,599999.0,599999.0,27.309103,1610000.0,1582320.5,2.00248066975,100000.0,599999.0,599999.0,599999.0,599999.0,27.68602175,1623000.0,1590054.5,2.002991654,100000.0,599999.0,599999.0,599999.0,599999.0,28.956664,1685000.0,1670102.0
