,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,16.0,4.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0
mean,2.0,100000.0,600000.0,600000.0,600000.0,600000.0,39535.78391959799,0.0,0.0,0.0,2857842.9648241205,568792.7135678392,5018095.477386935,39536.39572864322
std,0.0,0.0,0.0,0.0,0.0,0.0,589.417611330139,0.0,0.0,0.0,19949.03476812583,4049.1939936679455,2707.7210168605593,590.069315132534
min,2.0,100000.0,600000.0,600000.0,600000.0,600000.0,37972.0,0.0,0.0,0.0,2843000.0,566000.0,5010000.0,37972.0
25%,2.0,100000.0,600000.0,600000.0,600000.0,600000.0,38946.0,0.0,0.0,0.0,2851000.0,568000.0,5019000.0,38946.0
50%,2.0,100000.0,600000.0,600000.0,600000.0,600000.0,39433.0,0.0,0.0,0.0,2855000.0,568000.0,5019000.0,39433.0
75%,2.0,100000.0,600000.0,600000.0,600000.0,600000.0,39920.0,0.0,0.0,0.0,2855000.0,568000.0,5019000.0,39920.0
max,2.0,100000.0,600000.0,600000.0,600000.0,600000.0,41868.0,0.0,0.0,0.0,3057000.0,609000.0,5019000.0,41868.0
