,time,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,6.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,4.681666666666667,1500000.0,1500000.0,1500000.0,1500000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,25914.473684210527,25986.842105263157,26317.98245614035,23980.263157894737,255.0,25000.0,43482.478070175435,914947.9166666666,39390.21710526316,48621.333333333336,1021250.0,49008.0,259487.84649122806,1297554.8245614036,335868.0899122807,38212.616228070176,1214997.25877193,45940.68859649123
std,0.03188521078284856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.9704603107559,114.0758628588305,466.2040864696352,154.22524145293002,0.0,239.04572186687872,11656.350355986047,250.05722788217344,10621.683362116826,170.59320763395738,361.2402323862965,13.871624923633785,14592.596684865666,2274.9855142467995,18779.908097196607,2549.2853822370926,58.53661322385587,3071.4958591384816
min,4.64,1500000.0,1500000.0,1500000.0,1500000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,25000.0,25000.0,26000.0,23000.0,255.0,24000.0,38086.0,913750.0,34694.0,48184.0,1020000.0,48960.0,84973.0,1292500.0,110208.0,24206.0,1213750.0,29160.0
25%,4.6625,1500000.0,1500000.0,1500000.0,1500000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,26000.0,26000.0,26000.0,24000.0,255.0,25000.0,40278.0,915000.0,36600.0,48488.0,1021250.0,49008.0,259738.0,1296250.0,336700.0,36491.0,1215000.0,43740.0
50%,4.68,1500000.0,1500000.0,1500000.0,1500000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,26000.0,26000.0,26000.0,24000.0,255.0,25000.0,41100.0,915000.0,37515.0,48488.0,1021250.0,49008.0,261751.0,1297500.0,338517.0,38220.0,1215000.0,46170.0
75%,4.6975,1500000.0,1500000.0,1500000.0,1500000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,26000.0,26000.0,27000.0,24000.0,255.0,25000.0,42196.0,915000.0,38430.0,48792.0,1021250.0,49008.0,262727.0,1298750.0,339814.0,39767.0,1215000.0,47385.0
max,4.73,1500000.0,1500000.0,1500000.0,1500000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,26000.0,26000.0,27000.0,25000.0,255.0,26000.0,145768.0,915000.0,132385.0,48944.0,1022500.0,49056.0,265960.0,1312500.0,343970.0,47775.0,1215000.0,57105.0
