howmany,island,frequency,task,power,time
1,big,1300000,hash,801601.4035818713,0.0875631145362742
1,big,1400000,hash,906052.0582602338,0.0816281335813623
1,big,1500000,hash,1021443.9635964911,0.0763575161661794
1,big,1600000,hash,1181694.088523392,0.0716183895827796
1,big,1700000,hash,1358562.7027046783,0.0676056338028169
1,big,1800000,hash,1559551.1904239764,0.0641509433962264
1,big,1900000,hash,1836751.3798245613,0.0609619984055275
1,big,2000000,hash,2152739.070906433,0.0578262024980069
1,big,200000,idle,29714.405701754386,0.0
1,big,300000,idle,36667.20614035088,0.0
1,big,400000,idle,43959.65131578947,0.0
1,big,500000,idle,49942.20394736842,0.0
1,big,600000,idle,55386.11184210526,0.0
1,big,700000,idle,62486.72149122807,0.0
1,big,800000,idle,70789.28289473684,0.0
1,big,900000,idle,82052.88596491228,0.0
1,big,1000000,idle,95939.98903508772,0.0
1,big,1100000,idle,110361.93421052632,0.0
1,big,1200000,idle,123850.00877192985,0.0
1,big,1300000,idle,143356.77850877194,0.0
1,big,1400000,idle,161186.93640350876,0.0
1,big,1500000,idle,182163.88377192983,0.0
1,big,1600000,idle,210462.20175438595,0.0
1,big,1700000,idle,240915.07675438595,0.0
1,big,1800000,idle,282202.83771929826,0.0
1,big,1900000,idle,325980.44736842107,0.0
1,big,2000000,idle,412970.99342105264,0.0
1,little,200000,decrypt,23432.015570175434,1.0
1,little,300000,decrypt,33112.68428362573,0.6615656542164751
1,little,400000,decrypt,43065.34861111111,0.494906739848365
1,little,500000,decrypt,52295.24758771929,0.3946695195125354
1,little,600000,decrypt,67378.86498538012,0.3302014047164984
1,little,700000,decrypt,84966.95584795321,0.281780547932462
1,little,800000,decrypt,102624.07105263157,0.2473138285501651
1,little,900000,decrypt,123152.92631578949,0.2195916089120423
1,little,1000000,decrypt,146918.22543859654,0.1974510442346155
1,little,1100000,decrypt,172679.23172514618,0.1797758035257453
1,little,1200000,decrypt,201320.92573099412,0.164844876505884
1,little,1300000,decrypt,239290.1385964912,0.1522396390529792
1,little,1400000,decrypt,281730.4812134503,0.1415414670449788
1,little,1500000,decrypt,323068.4083333333,0.1325643053165263
1,little,200000,encrypt,23366.738377192985,1.0
1,little,300000,encrypt,32978.425950292396,0.6620589475657184
1,little,400000,encrypt,42896.2726608187,0.494447307998688
1,little,500000,encrypt,52146.66403508771,0.3946862846164659
1,little,600000,encrypt,67276.89269005848,0.3285694203645565
1,little,700000,encrypt,84834.95116959065,0.2815238273745372
1,little,800000,encrypt,102453.2534356725,0.2466144979148118
1,little,900000,encrypt,122801.79532163742,0.2203270699592334
1,little,1000000,encrypt,146737.92565789475,0.198022585633288
1,little,1100000,encrypt,172303.84078947367,0.1797010449369757
1,little,1200000,encrypt,201248.80599415206,0.1656435968323883
1,little,1300000,encrypt,239441.75899122807,0.1522421629726817
1,little,1400000,encrypt,281703.8347222222,0.1422145166580759
1,little,1500000,encrypt,322891.3217105263,0.1323274448245162
