frequency,power,task,island,voltage,time,howmany,time_rel
1000000,89047.0197368421,cachekiller,little,1102502.74122807,3.208333333333333,1,0.5122405534858967
1000000,142098.70614035087,cacherate-0,little,1101307.5657894737,4.881666666666666,1,0.1965771812080537
1000000,87219.25219298246,cacherate-100,little,1102491.7763157894,2.9483333333333337,1,0.5151426907396623
1000000,111236.18201754386,cacherate-20,little,1101899.6710526317,4.826666666666667,1,0.2691950176612753
1000000,96792.67763157896,cacherate-40,little,1102439.6929824562,3.9416666666666655,1,0.48772942874819536
1000000,92456.77192982456,cacherate-60,little,1102502.74122807,3.2516666666666665,1,0.49342438037430447
1000000,89181.61622807017,cacherate-80,little,1102494.5175438595,3.073333333333333,1,0.503137789904502
1000000,151199.92763157896,decrypt,little,1101291.1184210526,7.075,1,0.19745104423461554
1000000,150738.43421052632,encrypt,little,1101351.4254385964,7.043333333333333,1,0.198022585633288
1000000,153562.53070175438,gzip-1,little,1101282.894736842,6.301666666666667,1,0.19858193277310926
1000000,155469.1600877193,gzip-5,little,1101271.929824561,6.971666666666667,1,0.20103811217378767
1000000,155438.59868421053,gzip-9,little,1101282.894736842,6.874999999999999,1,0.19836499158451548
1000000,131927.36842105264,hash,little,1101472.0394736845,7.553333333333334,1,0.20072637080343697
1000000,47670.88596491228,idle,little,1103750.0,2.0,1,0.9950248756218907
1100000,103716.35087719298,cachekiller,little,1139462.7192982456,3.1833333333333336,1,0.5082490686535392
1100000,169256.22587719298,cacherate-0,little,1138511.5131578948,4.431666666666667,1,0.1784563758389262
1100000,102861.36842105264,cacherate-100,little,1139216.00877193,2.8200000000000003,1,0.49271986022131636
1100000,129429.9605263158,cacherate-20,little,1138769.1885964912,4.766666666666667,1,0.26584867075664614
1100000,112391.4298245614,cacherate-40,little,1139109.100877193,3.936666666666667,1,0.48711074448339864
1100000,107086.9605263158,cacherate-60,little,1139070.7236842106,3.206666666666667,1,0.4865958523014669
1100000,104668.33771929824,cacherate-80,little,1139276.3157894737,3.0033333333333334,1,0.4916780354706685
