[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  28452       tick         16461        632107       4638754 
      2  28452       tick          1215          8122        298420 
      3  28452       tick          1482          8018        293570 
      4  28452       tick          1348          8083        294414 
      5  28452       tick          1160          8074        295605 
      6  28452       tick          1084          8026        295657 
      7  28452       tick          1157          8025        295939 
      8  28452       tick          1008          8027        296317 
      9  28452       tick          1135          8117        295857 
     10  28452       tick          1165          8010        296115 
     11  28452       tick          1136          7995        295564 
     12  28452       tick          1134          8061        296445 
     13  28452       tick          1243          7983        295614 
     14  28452       tick          1191          8095        294937 
     15  28452       tick          1257          8059        294889 
     16  28452       tick          1314          8000        295168 
     17  28452       tick          1089          8066        296427 
     18  28452       tick          1107          8002        296387 
     19  28452       tick          1259          7989        295492 
     20  28452       tick          1276          7999        295933 
     21  28452       tick          1012          8147        296139 
     22  28452       tick          1260          8129        295566 
     23  28452       tick          1260          8147        296124 
     24  28452       tick          1317          8164        294756 
     25  28452       tick          1283          8166        295698 
     26  28452       tick          1107          8068        295920 
     27  28452       tick          1213          8127        295213 
     28  28452       tick          1122          8202        296171 
     29  28452       tick          1150          7996        296051 
     30  28452       tick          1179          8125        295969 
     31  28452       tick          1175          8147        295532 
     32  28452       tick          1150          8197        295889 
     33  28452       tick          1030          8275        296362 
     34  28452       tick          1422          8202        294181 
     35  28452       tick          1183          8200        294649 
     36  28452       tick          1204          8272        295495 
     37  28452       tick          1020          8212        296117 
     38  28452       tick          1063          8242        296450 
     39  28452       tick          1122          8107        295943 
     40  28452       tick          1334          8184        295670 
     41  28452       tick          1179          8241        295445 
     42  28452       tick          1156          8053        296160 
     43  28452       tick          1131          8143        296243 
     44  28452       tick          1216          8135        295334 
     45  28452       tick          1097          8154        295655 
     46  28452       tick          1232          8147        295748 
     47  28452       tick          1438          8092        295366 
     48  28452       tick           956          8077        296546 
     49  28452       tick          1170          8161        295511 
     50  28452       tick          1080          8079        296117 
     51  28452       tick          1213          8228        295804 
     52  28452       tick          1128          8180        295654 
     53  28452       tick           988          8228        296340 
     54  28452       tick          1096          8278        295392 
     55  28452       exit          2176         11369        154242 
