UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,299999,299999,299999,299999,29.174267,1910000,1887714
,299999,299999,299999,299999,28.459288,1885000,1870746
,299999,299999,299999,299999,28.210599,1898000,1864033
,299999,299999,299999,299999,29.314154,1885000,1872067
,299999,299999,299999,299999,28.583632,2098000,2077037
,299999,299999,299999,299999,28.459288,2086000,2070917
,299999,299999,299999,299999,28.941121,2098000,2073676
,299999,299999,299999,299999,29.018837,2098000,2075765
,299999,299999,299999,299999,28.537003,2098000,2065557
,299999,299999,299999,299999,29.298611,2098000,2079636
,299999,299999,299999,299999,29.251982,2086000,2077862
,299999,299999,299999,299999,28.910035,2098000,2076736
,299999,299999,299999,299999,28.801234,2098000,2072607
,299999,299999,299999,299999,28.179513,2098000,2070497
,299999,299999,299999,299999,28.863406,2098000,2077446
,299999,299999,299999,299999,29.360783,2110000,2079520
,299999,299999,299999,299999,29.345240,2086000,2069469
,299999,299999,299999,299999,29.283068,2098000,2062739
,299999,299999,299999,299999,28.583632,2086000,2072978
,299999,299999,299999,299999,29.189810,2110000,2071320
,299999,299999,299999,299999,29.687187,2098000,2073414
,299999,299999,299999,299999,28.770148,2086000,2056980
,299999,299999,299999,299999,27.759851,2098000,2072082
,299999,299999,299999,299999,29.873703,2098000,2077758
,299999,299999,299999,299999,28.490374,2098000,2072435
,299999,299999,299999,299999,29.376326,2086000,2060496
,299999,299999,299999,299999,30.044677,2098000,2075408
,299999,299999,299999,299999,29.034380,2086000,2068741
,299999,299999,299999,299999,29.935875,2098000,2067897
,299999,299999,299999,299999,29.500671,2086000,2063567
,299999,299999,299999,299999,28.521460,2098000,2067473
,299999,299999,299999,299999,29.034380,2086000,2067589
,299999,299999,299999,299999,29.578386,2098000,2071512
,299999,299999,299999,299999,30.542054,2098000,2073256
,299999,299999,299999,299999,30.293365,2086000,2067103
,299999,299999,299999,299999,28.505917,2098000,2082025
,299999,299999,299999,299999,28.537003,1698000,1675419
,299999,299999,299999,299999,28.272771,1848000,1813400
,299999,299999,299999,299999,29.593929,1885000,1873369
,299999,299999,299999,299999,30.293365,1885000,1865609
,299999,299999,299999,299999,28.785691,1898000,1871724
,299999,299999,299999,299999,28.723519,1885000,1865890
,299999,299999,299999,299999,29.112095,2098000,2072424
,299999,299999,299999,299999,28.878949,2086000,2066616
,299999,299999,299999,299999,29.220896,2110000,2085901
,299999,299999,299999,299999,29.127638,2098000,2072910
,299999,299999,299999,299999,31.381377,2098000,2068486
,299999,299999,299999,299999,29.873703,2098000,2077512
,299999,299999,299999,299999,28.739062,2098000,2069920
,299999,299999,299999,299999,29.454041,2110000,2079652
,299999,299999,299999,299999,30.231193,2098000,2076567
,299999,299999,299999,299999,29.547300,2098000,2076790
,299999,299999,299999,299999,29.764902,2098000,2069673
,299999,299999,299999,299999,29.034380,2098000,2070727
,299999,299999,299999,299999,28.521460,2098000,2073313
,299999,299999,299999,299999,29.376326,2098000,2073188
,299999,299999,299999,299999,29.764902,2086000,2068008
,299999,299999,299999,299999,29.298611,2098000,2066499
,299999,299999,299999,299999,28.956664,2098000,2074032
,299999,299999,299999,299999,28.816777,2098000,2068667
,299999,299999,299999,299999,29.780445,2086000,2066405
,299999,299999,299999,299999,29.345240,2098000,2080749
,299999,299999,299999,299999,29.547300,2098000,2062456
,299999,299999,299999,299999,29.065466,2110000,2078953
,299999,299999,299999,299999,28.987751,2086000,2077704
,299999,299999,299999,299999,30.495424,2086000,2068233
,299999,299999,299999,299999,30.215650,2098000,2067925
,299999,299999,299999,299999,29.827074,2086000,2058313
,299999,299999,299999,299999,29.112095,2098000,2073464
,299999,299999,299999,299999,28.956664,2098000,2080916
,299999,299999,299999,299999,29.174267,2098000,2067699
,299999,299999,299999,299999,29.889246,2086000,2072601
,299999,299999,299999,299999,30.293365,2098000,2077509
,299999,299999,299999,299999,28.910035,2098000,2076959
,299999,299999,299999,299999,30.386623,1710000,1689683
,299999,299999,299999,299999,29.236439,1823000,1800921
,299999,299999,299999,299999,28.801234,1885000,1862623
,299999,299999,299999,299999,28.070712,1898000,1878090
,299999,299999,299999,299999,28.723519,1885000,1874132
,299999,299999,299999,299999,29.780445,1898000,1880324
,299999,299999,299999,299999,29.251982,2073000,2044144
,299999,299999,299999,299999,29.065466,2098000,2076151
,299999,299999,299999,299999,28.505917,2086000,2068679
,299999,299999,299999,299999,28.692433,2098000,2068411
,299999,299999,299999,299999,29.345240,2098000,2066596
,299999,299999,299999,299999,29.718273,2098000,2068974
,299999,299999,299999,299999,29.811531,2086000,2058165
,299999,299999,299999,299999,29.283068,2098000,2066874
,299999,299999,299999,299999,29.049923,2098000,2077939
,299999,299999,299999,299999,28.661347,2098000,2062370
,299999,299999,299999,299999,28.956664,2098000,2075009
,299999,299999,299999,299999,29.314154,2086000,2071322
,299999,299999,299999,299999,29.329697,2110000,2080336
,299999,299999,299999,299999,29.174267,2098000,2083319
,299999,299999,299999,299999,27.992997,2098000,2064051
,299999,299999,299999,299999,29.376326,2086000,2075580
,299999,299999,299999,299999,29.438498,2098000,2066501
,299999,299999,299999,299999,29.780445,2098000,2075469
,299999,299999,299999,299999,29.749359,2098000,2075835
,299999,299999,299999,299999,29.345240,2098000,2073636
,299999,299999,299999,299999,29.702730,2098000,2072837
,299999,299999,299999,299999,30.013591,2098000,2071096
,299999,299999,299999,299999,28.941121,2086000,2062835
,299999,299999,299999,299999,28.987751,2098000,2078246
,299999,299999,299999,299999,29.935875,2098000,2071979
,299999,299999,299999,299999,28.101798,2098000,2070865
,299999,299999,299999,299999,30.122392,2098000,2064867
,299999,299999,299999,299999,29.858160,2110000,2088545
,299999,299999,299999,299999,31.101603,2098000,2074364
,299999,299999,299999,299999,30.837371,2098000,2072033
,299999,299999,299999,299999,29.656101,2086000,2064281
,299999,299999,299999,299999,30.200107,2098000,2063023
,299999,299999,299999,299999,29.003294,1923000,1907571
,299999,299999,299999,299999,28.459288,1735000,1713179
