,Command_4,time,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,1.0,15.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,1.0,2.4133333333333336,200000.0,200000.0,200000.0,200000.0,1969517.5438596492,1969517.5438596492,1969517.5438596492,1969517.5438596492,-1.0,-1.0,-1.0,-1.0,72302.63157894737,61085.52631578947,79296.05263157895,81657.8947368421,255.0,53008.771929824565,4647173.394736842,1317974.2324561405,6125919.572368421,53052.0,1022584.9780701754,53618.25219298246,18903.84649122807,918415.5701754387,16859.412280701756,47318.80263157895,1215150.7675438595,56769.945175438595
std,,0.7200760541842256,0.0,0.0,0.0,0.0,46083.86668303356,46083.86668303356,46083.86668303356,46083.86668303356,0.0,0.0,0.0,0.0,4392.360211140153,4345.937720151755,4593.601114291905,4882.494313663996,0.0,4101.986897895584,288617.0729475948,21553.932342140764,442732.41067478544,1033.1696583122944,314.9903182907801,1003.5424223229298,2008.57168389637,553.9557084575592,1849.8877177041286,2384.5729519471397,407.5448640027906,2923.881192107349
min,1.0,0.0,200000.0,200000.0,200000.0,200000.0,1900000.0,1900000.0,1900000.0,1900000.0,-1.0,-1.0,-1.0,-1.0,55000.0,44000.0,60000.0,61000.0,255.0,38000.0,1220122.0,1272500.0,1607960.0,50008.0,1022500.0,51100.0,13969.0,917500.0,11921.0,43953.0,1215000.0,52245.0
25%,1.0,2.325,200000.0,200000.0,200000.0,200000.0,1900000.0,1900000.0,1900000.0,1900000.0,-1.0,-1.0,-1.0,-1.0,72000.0,60000.0,79000.0,82000.0,255.0,52000.0,4518465.5,1301250.0,5863392.75,52744.0,1022500.0,53144.0,18239.0,917500.0,16506.0,45773.0,1215000.0,54675.0
50%,1.0,2.47,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,74000.0,63000.0,81000.0,84000.0,255.0,55000.0,4700333.0,1329375.0,6239109.0,53504.0,1022500.0,54166.0,19276.0,918750.0,17423.0,46501.0,1215000.0,55890.0
75%,1.0,2.8899999999999997,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,75000.0,64000.0,82000.0,84000.0,255.0,56000.0,4829387.0,1336250.0,6438992.0,53808.0,1022500.0,54166.0,19520.0,918750.0,17442.0,47957.0,1215000.0,57152.0
max,1.0,3.02,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,77000.0,65000.0,84000.0,86000.0,255.0,57000.0,4917204.0,1338750.0,6578946.0,54264.0,1023750.0,55242.0,31720.0,918750.0,28427.0,59969.0,1216250.0,71744.0
