[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  16323       tick        809427          2301       2987573 
      2  16323       tick       2187292            16       7361732 
      3  16323       tick       2188910            16       7367416 
      4  16323       tick       2191538            10       7376019 
      5  16323       tick       2190696            14       7373311 
      6  16323       tick       2192118            10       7378053 
      7  16323       tick       2191708             9       7376912 
      8  16323       tick       2190585             8       7373148 
      9  16323       tick       2192289             9       7378588 
     10  16323       tick       2188708            13       7366561 
     11  16323       tick       2183533             8       7349242 
     12  16323       tick       2182241            16       7344656 
     13  16323       tick       2193487            10       7382820 
     14  16323       tick       2177144            12       7328148 
     15  16323       tick       2183770            10       7349935 
     16  16323       tick       2182837             9       7346687 
     17  16323       tick       2185231             9       7354940 
     18  16323       tick       2182461            10       7345461 
     19  16323       tick       2188179             8       7364780 
     20  16323       tick       2189790            10       7370337 
     21  16323       tick       2188860             9       7367265 
     22  16323       exit        545742            93       1836531 
