howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min,time
0,big,gzip-5,900000,79016.0,80835.0,81872.0,122808.0,82052.88596491228,77031.0,2.0,2.0,2.0,2.0,2.0,2.0,,952500.0,952500.0,952500.0,952500.0,952341.0087719298,951250.0,
1,big,gzip-5,900000,526594.0,528468.0,531144.75,643386.0,529604.2412280702,506917.0,4.9,4.9,4.907500000000001,4.91,4.903333333333333,4.9,0.1413947229297832,937500.0,937500.0,941250.0,947500.0,939520.2850877192,937500.0,
2,big,gzip-5,900000,897700.0,899580.0,900520.0,917440.0,894186.6052631579,90440.0,4.93,4.9350000000000005,4.94,4.94,4.935,4.93,0.142307877156726,940000.0,940000.0,940000.0,952500.0,940060.3070175438,940000.0,
3,big,gzip-5,900000,1258623.0,1260940.0,1262822.0,1285406.0,1254999.0986842106,341280.0,4.97,4.97,4.9775,4.98,4.97111111111111,4.96,0.1433491933804328,941250.0,941250.0,941250.0,948750.0,941444.6271929824,940000.0,
4,big,gzip-5,900000,1604986.0,1609878.0,1613473.0,1619131.0,1602557.0657894737,833612.0,5.02,5.02,5.02,5.04,5.02,5.01,0.1447589753448358,943750.0,943750.0,943750.0,943750.0,943442.9824561405,942500.0,
