,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,95.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,3.5042383673515785,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,28.055370824999997,2204786.0,2168083.678
std,0.4923347981669335,0.0,0.0,0.0,0.0,0.0,0.6242441115146325,54013.90289273407,52014.85357694422
min,3.1050607828,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,25.708171,1610000.0,1595301.0
25%,3.1072030763000003,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,27.635507,2210000.0,2170849.25
50%,3.1077048199,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,28.070712,2210000.0,2172987.0
75%,4.032194921,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,28.474831,2210000.0,2175155.0
max,4.239584617,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,29.811531,2260000.0,2225344.0
