,time,Run_1,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,5.0,5.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,7.11257752394,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,30.960565134,1692255.0,1663937.369
std,0.0005557855287536256,0.0,0.0,0.0,0.0,0.0,0.0,0.5972932194110163,9584.980273680632,6616.527315030866
min,7.1118925665,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,28.816777,1673000.0,1651667.0
25%,7.1120596792,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,30.542054,1685000.0,1658625.25
50%,7.1128851857,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,30.961715,1698000.0,1662061.5
75%,7.1129865818,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,31.381377,1698000.0,1668834.75
max,7.1130636065,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,32.733621,1710000.0,1683699.0
