power,time,task,howmany,island,frequency,time_rel
3744938.566552901,7.618333333333332,gzip-9,4,cpu,600000,1.0541974169741697
4000010.112436116,6.558333333333333,gzip-9,4,cpu,700000,0.9075184501845016
4205828.888319672,5.7445,gzip-9,4,cpu,800000,0.7949031365313654
4406092.307692308,5.117,gzip-9,4,cpu,900000,0.7080719557195572
4619703.517587939,4.619999999999999,gzip-9,4,cpu,1000000,0.6392988929889298
4825452.81124498,4.225499999999999,gzip-9,4,cpu,1100000,0.5847094095940959
5047367.469879518,3.8795,gzip-9,4,cpu,1200000,0.5368311808118081
5263698.094282849,3.611999999999999,gzip-9,4,cpu,1300000,0.4998154981549814
5494129.129129129,3.3555,gzip-9,4,cpu,1400000,0.4643219557195572
5703629.889669007,3.1295,gzip-9,4,cpu,1500000,0.4330488929889299
