,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,10.0,5.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
mean,3.975,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,44145.05405405405,0.0,0.0,0.0,3881375.375375375,773119.1191191191,5017918.918918919,44146.02902902903
std,0.009718253158075523,0.0,0.0,0.0,0.0,0.0,771.8516457241608,0.0,0.0,0.0,60663.53404608204,12145.940579879549,2927.3830592499507,769.5843021751854
min,3.96,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,41868.0,0.0,0.0,0.0,2996000.0,596000.0,5010000.0,41868.0
25%,3.97,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,43816.0,0.0,0.0,0.0,3885000.0,774000.0,5019000.0,43816.0
50%,3.97,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,44303.0,0.0,0.0,0.0,3889000.0,774000.0,5019000.0,44303.0
75%,3.98,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,44790.0,0.0,0.0,0.0,3889000.0,775000.0,5019000.0,44790.0
max,3.99,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,46251.0,0.0,0.0,0.0,3923000.0,781000.0,5019000.0,46251.0
