,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,10.0,5.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
mean,3.367,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,44204.91683366733,0.0,0.0,0.0,3963003.003006012,789391.7835671343,5018071.142284569,44203.94088176353
std,0.010593499054713879,0.0,0.0,0.0,0.0,0.0,860.7495556139796,0.0,0.0,0.0,73085.79396051953,14637.985670806853,2739.427364368243,863.6727513220227
min,3.36,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,41381.0,0.0,0.0,0.0,3049000.0,606000.0,5010000.0,41381.0
25%,3.36,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,43816.0,0.0,0.0,0.0,3965000.0,790000.0,5019000.0,43816.0
50%,3.36,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,44303.0,0.0,0.0,0.0,3969000.0,791000.0,5019000.0,44303.0
75%,3.37,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,44790.0,0.0,0.0,0.0,3973000.0,791000.0,5019000.0,44790.0
max,3.39,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,46251.0,0.0,0.0,0.0,4080000.0,812000.0,5019000.0,46251.0
