,time,Run_1,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,20.0,20.0,5.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0
mean,14.780587320084999,1.0,100000.0,399999.0,399999.0,399999.0,399999.0,27.72138178695209,1820865.4434250765,1804455.975535168
std,0.7265230720225799,0.0,0.0,0.0,0.0,0.0,0.0,0.5894027192092288,5903.668742790548,6176.801104545551
min,14.1372292871,1.0,100000.0,399999.0,399999.0,399999.0,399999.0,25.848059,1798000.0,1780785.0
25%,14.1496613662,1.0,100000.0,399999.0,399999.0,399999.0,399999.0,27.324646,1823000.0,1800431.0
50%,14.561447169000001,1.0,100000.0,399999.0,399999.0,399999.0,399999.0,27.713222,1823000.0,1803108.0
75%,15.202148572625,1.0,100000.0,399999.0,399999.0,399999.0,399999.0,28.101798,1823000.0,1806373.0
max,16.29269146,1.0,100000.0,399999.0,399999.0,399999.0,399999.0,29.889246,1836000.0,1824465.0
