power,time,task,howmany,island,frequency,time_rel
3068930.7228915663,6.965999999999999,gzip-1,1,cpu,600000,1.0
3165764.0562249,5.994,gzip-1,1,cpu,700000,0.8604651162790699
3235627.2545090183,5.218,gzip-1,1,cpu,800000,0.7490668963537181
3305825.301204819,4.648,gzip-1,1,cpu,900000,0.6672408842951478
3375480.0,4.18,gzip-1,1,cpu,1000000,0.6000574217628482
3444562.124248497,3.804,gzip-1,1,cpu,1100000,0.5460809646856158
3516609.609609609,3.4880000000000004,gzip-1,1,cpu,1200000,0.5007177720356016
3587025.025025025,3.224,gzip-1,1,cpu,1300000,0.4628194085558427
3658441.0,2.992,gzip-1,1,cpu,1400000,0.4295147861039334
3731987.987987988,2.794,gzip-1,1,cpu,1500000,0.4010910134941143
