frequency,power,task,island,voltage,time,howmany,time_rel
200000,20286.173245614034,hash,little,917930.3728070176,37.63,1,1.0
300000,29223.45394736842,hash,little,917505.4824561405,25.02,1,0.6648950305607227
400000,37571.929824561405,hash,little,917535.6359649122,18.730000000000004,1,0.4977411639649217
500000,46374.69956140351,hash,little,917743.9692982456,14.985,1,0.3982195057135264
600000,59745.771929824565,hash,little,954122.8070175438,12.506666666666668,1,0.3323589334750642
700000,75035.48464912281,hash,little,991247.2587719298,10.728333333333332,1,0.2851005403490123
800000,90975.5701754386,hash,little,1028146.9298245612,9.401666666666667,1,0.2498449818407299
900000,110631.92105263156,hash,little,1065010.964912281,8.376666666666665,1,0.2226060767118433
1000000,131927.36842105264,hash,little,1101472.0394736845,7.553333333333334,1,0.2007263708034369
1100000,155443.20394736843,hash,little,1138692.4342105263,6.881666666666667,1,0.1828771370360528
1200000,181158.85307017545,hash,little,1175282.346491228,6.325,1,0.1680839755514217
1300000,215009.22368421053,hash,little,1223889.8026315789,5.853333333333333,1,0.155549650101869
1400000,254649.70394736843,hash,little,1273470.394736842,5.458333333333333,1,0.1450527061741518
1500000,291108.5,hash,little,1309608.004385965,5.109999999999999,1,0.1357959075205952
