frequency,power,task,island,voltage,time,howmany,time_rel
200000,47653.71929824561,cacherate-0,little,918174.3421052631,24.76944444444445,3,0.9974272930648772
300000,69361.10964912281,cacherate-0,little,917250.548245614,16.41333333333333,3,0.6609395973154363
400000,91140.16666666669,cacherate-0,little,916436.403508772,12.275555555555554,3,0.4943176733780761
500000,112535.25438596492,cacherate-0,little,916252.7412280702,9.805,3,0.3948322147651007
600000,146001.83771929826,cacherate-0,little,952516.447368421,8.158888888888889,3,0.3285458612975392
700000,183839.2302631579,cacherate-0,little,988763.7061403508,6.990555555555556,3,0.2814988814317674
800000,226392.84210526315,cacherate-0,little,1025038.3771929824,6.112777777777778,3,0.2461521252796421
900000,266428.2390350877,cacherate-0,little,1046167.7631578948,5.432777777777779,3,0.2187695749440716
1000000,317322.63157894736,cacherate-0,little,1082639.8026315789,4.884999999999999,3,0.1967114093959731
1100000,374515.4232456141,cacherate-0,little,1118887.0614035088,4.441666666666666,3,0.1788590604026846
1200000,439538.6381578947,cacherate-0,little,1155112.3903508773,4.071111111111112,3,0.1639373601789709
1300000,524919.6359649122,cacherate-0,little,1204062.5,3.755,3,0.1512080536912751
1400000,616999.6162280702,cacherate-0,little,1252642.5438596492,3.4877777777777776,3,0.1404474272930649
1500000,705738.0877192982,cacherate-0,little,1288873.355263158,3.252222222222222,3,0.1309619686800895
