frequency,power,task,island,voltage,time,howmany,time_rel
200000,41021.47807017544,cacherate-80,little,917494.5175438595,9.805,3,1.6051841746248294
300000,50614.09868421053,cacherate-80,little,917502.7412280702,6.522777777777778,3,1.0678490222828558
400000,60508.79385964912,cacherate-80,little,917478.0701754388,5.016111111111112,3,0.8211914506593907
500000,69113.92324561403,cacherate-80,little,916521.3815789474,4.557777777777778,3,0.7461573442473852
600000,83814.35964912281,cacherate-80,little,953758.2236842106,4.245555555555557,3,0.695043201455207
700000,100095.05921052632,cacherate-80,little,990605.8114035088,4.014444444444445,3,0.6572078217371533
800000,118607.37280701754,cacherate-80,little,1027502.7412280702,3.9227777777777777,3,0.6422010004547521
900000,138453.00657894736,cacherate-80,little,1064994.5175438595,3.733333333333333,3,0.6111869031377898
1000000,160167.34868421053,cacherate-80,little,1101241.7763157894,3.664444444444445,3,0.5999090495679855
1100000,184948.4714912281,cacherate-80,little,1137708.3333333333,3.6216666666666666,3,0.5929058663028649
1200000,206116.78289473685,cacherate-80,little,1163171.600877193,3.610555555555555,3,0.5910868576625739
1300000,238422.9364035088,cacherate-80,little,1206806.4692982456,3.575,3,0.5852660300136426
1400000,275477.1469298245,cacherate-80,little,1256332.2368421052,3.655555555555556,3,0.5984538426557526
1500000,311557.125,cacherate-80,little,1292593.201754386,3.5883333333333334,3,0.5874488403819919
