frequency,power,task,island,voltage,time,howmany,time_rel
200000,50916.48026315789,gzip-9,little,917519.1885964912,36.89166666666667,3,1.0644385669632126
300000,72339.31140350878,gzip-9,little,916691.3377192982,24.80333333333333,3,0.7156528011541236
400000,91911.61842105264,gzip-9,little,916310.3070175438,18.83277777777777,3,0.5433838262402819
500000,110701.82894736844,gzip-9,little,916236.2938596492,15.327777777777776,3,0.4422537468942854
600000,140497.2105263158,gzip-9,little,952524.6710526316,12.962222222222222,3,0.3740001602949427
700000,172326.09649122806,gzip-9,little,988793.8596491228,11.283888888888889,3,0.3255750581069167
800000,205349.43859649124,gzip-9,little,1025879.9342105264,10.072222222222225,3,0.2906147311052337
900000,243078.028508772,gzip-9,little,1061943.5307017544,9.09388888888889,3,0.262386791696722
1000000,283965.1929824561,gzip-9,little,1090748.355263158,8.371666666666666,3,0.2415484491464294
1100000,320472.3157894737,gzip-9,little,1120438.596491228,7.720555555555555,3,0.2227618818626272
1200000,369585.82236842107,gzip-9,little,1156378.8377192982,7.186666666666666,3,0.2073575378696802
1300000,428572.9013157895,gzip-9,little,1205137.0614035088,6.735,3,0.1943255590286126
1400000,499207.7631578947,gzip-9,little,1253851.4254385964,6.357777777777777,3,0.1834415324196521
1500000,568448.8530701754,gzip-9,little,1290104.1666666667,6.073888888888889,3,0.1752504608479602
