howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,time
0,cpu,decrypt,1300000,3053000.0,3053000.0,3057000.0,3271000.0,3057185.0,3045000.0,2.0,2.0,2.0,2.0,2.0,2.0,,
1,cpu,decrypt,1300000,3500000.0,3503000.0,3507000.0,3584000.0,3501013.013013013,3053000.0,3.36,3.36,3.36,3.39,3.366,3.36,0.461601755348327,
2,cpu,decrypt,1300000,3965000.0,3969000.0,3973000.0,4080000.0,3963003.003006012,3049000.0,3.36,3.36,3.37,3.39,3.367,3.36,0.4617388919363686,
3,cpu,decrypt,1300000,4469000.0,4473000.0,4477000.0,4515000.0,4461030.060120241,3053000.0,3.36,3.37,3.375,3.4,3.3719999999999994,3.36,0.462424574876577,
4,cpu,decrypt,1300000,5030000.0,5034000.0,5042000.0,5072000.0,5035506.085192698,5015000.0,3.37,3.37,3.38,3.41,3.3765,3.37,0.4630416895227647,
