,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,20.0,5.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0
mean,3.1325000000000003,100000.0,1400000.0,1400000.0,1400000.0,1400000.0,54673.29322548028,0.0,0.0,0.0,5251875.631951466,1047956.2750252781,5018099.0899898885,54673.29322548028
std,0.0071635039941138155,0.0,0.0,0.0,0.0,0.0,1155.840184169377,0.0,0.0,0.0,10054.59302109582,2153.042617165084,2702.579585878459,1155.840184169377
min,3.12,100000.0,1400000.0,1400000.0,1400000.0,1400000.0,50634.0,0.0,0.0,0.0,5225000.0,1042000.0,5010000.0,50634.0
25%,3.13,100000.0,1400000.0,1400000.0,1400000.0,1400000.0,54043.0,0.0,0.0,0.0,5244000.0,1046000.0,5019000.0,54043.0
50%,3.13,100000.0,1400000.0,1400000.0,1400000.0,1400000.0,55017.0,0.0,0.0,0.0,5252000.0,1048000.0,5019000.0,55017.0
75%,3.14,100000.0,1400000.0,1400000.0,1400000.0,1400000.0,55504.0,0.0,0.0,0.0,5259000.0,1049000.0,5019000.0,55504.0
max,3.15,100000.0,1400000.0,1400000.0,1400000.0,1400000.0,57452.0,0.0,0.0,0.0,5297000.0,1057000.0,5019000.0,57452.0
