UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,900000,900000,900000,900000,40407,0,0,0,3549000,707000,5019000,40407
,900000,900000,900000,900000,40894,0,0,0,3549000,707000,5019000,40894
,900000,900000,900000,900000,40894,0,0,0,3549000,707000,5019000,40894
,900000,900000,900000,900000,41868,0,0,0,4034000,803000,5010000,41868
,900000,900000,900000,900000,41868,0,0,0,4034000,803000,5019000,41868
,900000,900000,900000,900000,41381,0,0,0,4034000,803000,5019000,41381
,900000,900000,900000,900000,41868,0,0,0,4011000,800000,5019000,41868
,900000,900000,900000,900000,41868,0,0,0,4011000,800000,5019000,41868
,900000,900000,900000,900000,41381,0,0,0,4019000,800000,5010000,41381
,900000,900000,900000,900000,41381,0,0,0,4019000,800000,5019000,41381
,900000,900000,900000,900000,41868,0,0,0,4019000,800000,5010000,41868
,900000,900000,900000,900000,40894,0,0,0,4019000,801000,5019000,40894
,900000,900000,900000,900000,41868,0,0,0,4019000,801000,5019000,41868
,900000,900000,900000,900000,42355,0,0,0,4019000,801000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4019000,800000,5019000,42842
,900000,900000,900000,900000,42355,0,0,0,4019000,800000,5019000,42355
,900000,900000,900000,900000,41381,0,0,0,4019000,800000,5019000,41381
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
,900000,900000,900000,900000,40894,0,0,0,4014999,799000,5019000,40894
,900000,900000,900000,900000,41868,0,0,0,4022000,800000,5019000,41868
,900000,900000,900000,900000,42355,0,0,0,4022000,800000,5019000,42355
,900000,900000,900000,900000,42355,0,0,0,4022000,800000,5019000,42355
,900000,900000,900000,900000,41381,0,0,0,4022000,801000,5019000,41381
,900000,900000,900000,900000,42355,0,0,0,4022000,801000,5019000,42355
,900000,900000,900000,900000,41868,0,0,0,4022000,801000,5019000,41868
,900000,900000,900000,900000,42842,0,0,0,4019000,800000,5019000,42842
,900000,900000,900000,900000,42842,0,0,0,4019000,800000,5010000,42842
,900000,900000,900000,900000,42355,0,0,0,4014999,800000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4014999,800000,5019000,42842
,900000,900000,900000,900000,43329,0,0,0,4014999,800000,5010000,43329
,900000,900000,900000,900000,42355,0,0,0,4019000,801000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4019000,801000,5019000,42842
,900000,900000,900000,900000,41868,0,0,0,4019000,801000,5019000,41868
,900000,900000,900000,900000,42842,0,0,0,4019000,800000,5019000,42842
,900000,900000,900000,900000,42355,0,0,0,4019000,800000,5019000,42355
,900000,900000,900000,900000,43329,0,0,0,4014999,799000,5019000,43329
,900000,900000,900000,900000,43329,0,0,0,4014999,799000,5019000,43329
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
,900000,900000,900000,900000,42355,0,0,0,4022000,801000,5019000,42355
,900000,900000,900000,900000,43816,0,0,0,4022000,801000,5019000,43816
,900000,900000,900000,900000,43329,0,0,0,4022000,801000,5010000,43329
,900000,900000,900000,900000,42842,0,0,0,4014999,800000,5019000,42842
,900000,900000,900000,900000,42355,0,0,0,4014999,800000,5019000,42355
,900000,900000,900000,900000,43329,0,0,0,4014999,800000,5019000,43329
,900000,900000,900000,900000,43329,0,0,0,4019000,801000,5010000,43329
,900000,900000,900000,900000,42842,0,0,0,4019000,801000,5019000,42842
,900000,900000,900000,900000,43816,0,0,0,4014999,800000,5019000,43816
,900000,900000,900000,900000,43329,0,0,0,4014999,800000,5019000,43329
,900000,900000,900000,900000,42355,0,0,0,4014999,800000,5019000,43329
,900000,900000,900000,900000,42355,0,0,0,4003000,797000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4003000,797000,5019000,42842
,900000,900000,900000,900000,42355,0,0,0,4003000,797000,5019000,42355
,900000,900000,900000,900000,42355,0,0,0,4022000,801000,5010000,42355
,900000,900000,900000,900000,42842,0,0,0,4022000,801000,5010000,42842
,900000,900000,900000,900000,43816,0,0,0,4019000,802000,5010000,43816
,900000,900000,900000,900000,43816,0,0,0,4019000,802000,5019000,43816
,900000,900000,900000,900000,42355,0,0,0,4019000,802000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4022000,802000,5019000,42842
,900000,900000,900000,900000,43329,0,0,0,4022000,802000,5019000,43329
,900000,900000,900000,900000,42842,0,0,0,4022000,802000,5019000,42842
,900000,900000,900000,900000,42355,0,0,0,4019000,800000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4019000,800000,5019000,42842
,900000,900000,900000,900000,42355,0,0,0,4019000,800000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4019000,800000,5019000,42842
,900000,900000,900000,900000,42842,0,0,0,4019000,800000,5010000,42842
,900000,900000,900000,900000,43816,0,0,0,4014999,801000,5019000,43816
,900000,900000,900000,900000,43816,0,0,0,4014999,801000,5019000,43816
,900000,900000,900000,900000,43329,0,0,0,4014999,801000,5019000,43329
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
,900000,900000,900000,900000,43816,0,0,0,4014999,799000,5019000,43816
,900000,900000,900000,900000,43329,0,0,0,4014999,799000,5019000,43329
,900000,900000,900000,900000,43816,0,0,0,4014999,799000,5019000,43816
,900000,900000,900000,900000,41868,0,0,0,4014999,799000,5019000,41868
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
,900000,900000,900000,900000,44303,0,0,0,4014999,799000,5019000,44303
,900000,900000,900000,900000,43329,0,0,0,4014999,799000,5019000,43329
,900000,900000,900000,900000,42355,0,0,0,4022000,801000,5019000,42355
,900000,900000,900000,900000,42842,0,0,0,4022000,801000,5010000,42842
,900000,900000,900000,900000,43329,0,0,0,4022000,801000,5019000,43329
,900000,900000,900000,900000,43816,0,0,0,4014999,800000,5019000,43816
,900000,900000,900000,900000,43329,0,0,0,4014999,800000,5010000,43329
,900000,900000,900000,900000,43329,0,0,0,4006999,799000,5019000,43329
,900000,900000,900000,900000,43329,0,0,0,4006999,799000,5019000,43329
,900000,900000,900000,900000,43329,0,0,0,4006999,799000,5019000,43329
,900000,900000,900000,900000,42355,0,0,0,4014999,799000,5019000,42355
,900000,900000,900000,900000,43329,0,0,0,4014999,799000,5019000,43329
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
,900000,900000,900000,900000,43816,0,0,0,4014999,799000,5019000,43816
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
,900000,900000,900000,900000,41868,0,0,0,4014999,799000,5019000,41868
,900000,900000,900000,900000,43329,0,0,0,4022000,801000,5019000,43329
,900000,900000,900000,900000,43329,0,0,0,4022000,801000,5019000,43329
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
,900000,900000,900000,900000,42842,0,0,0,4014999,799000,5019000,42842
