,time,Command_4,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,15.0,1.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,2.481333333333333,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,52833.333333333336,46197.36842105263,57927.63157894737,58287.28070175439,255.0,40484.649122807015,3287342.039473684,1177957.7850877193,3869847.7763157897,50616.333333333336,1022483.552631579,51108.31798245614,14748.890350877193,918040.0219298246,13085.451754385966,44731.28947368421,1215131.5789473683,53664.68859649123
std,0.6866467865823079,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191.1048530485778,3012.879620732059,3354.7119042729896,3517.4185801928807,0.0,2876.1591237596786,53731.67485639326,657.3755060154,64140.47426931541,522.8173495135571,184.57938365966135,563.8112358351352,1728.2695712844015,619.8760949935072,1641.69122857343,2235.3819831353917,384.0365800968912,2684.1813812464525
min,0.0,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,41000.0,35000.0,45000.0,45000.0,255.0,31000.0,2724930.0,1173750.0,3200700.0,48944.0,1021250.0,49056.0,12505.0,917500.0,11004.0,35217.0,1215000.0,42560.0
25%,2.645,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,52000.0,45000.0,57000.0,57000.0,255.0,39000.0,3278547.0,1177500.0,3858206.0,50464.0,1022500.0,51100.0,14274.0,917500.0,12838.0,43225.0,1215000.0,52245.0
50%,2.66,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,54000.0,47000.0,59000.0,59000.0,255.0,41000.0,3303344.0,1177500.0,3888808.0,50768.0,1022500.0,51100.0,14762.0,917500.0,12852.0,44226.0,1215000.0,53460.0
75%,2.67,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,55000.0,48000.0,60000.0,61000.0,255.0,42000.0,3314304.0,1178750.0,3901536.0,50920.0,1022500.0,51100.0,15006.0,918750.0,13755.0,45955.0,1215000.0,54675.0
max,2.68,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,57000.0,50000.0,62000.0,62000.0,255.0,44000.0,3353212.0,1178750.0,3949834.0,51528.0,1023750.0,52173.0,25986.0,918750.0,22925.0,52234.0,1216250.0,63232.0
