power,time,task,howmany,island,frequency,time_rel
3311847.847847848,4.366,decrypt,1,cpu,1000000,0.5987383433900164
3308647.5903614457,4.372000000000001,encrypt,1,cpu,1000000,0.5997256515775036
3375480.0,4.18,gzip-1,1,cpu,1000000,0.6000574217628482
3384843.0,4.354,gzip-5,1,cpu,1000000,0.6011044638748274
3385115.230460922,4.343999999999999,gzip-9,1,cpu,1000000,0.6011070110701107
3372989.98998999,2.928,hash,1,cpu,1000000,0.6049586776859505
2978583.583583584,2.0,idle,1,cpu,1000000,1.0
3374069.0,3.976,decrypt,1,cpu,1100000,0.5452550740537575
3370079.079079079,3.98,encrypt,1,cpu,1100000,0.5459533607681757
3444562.124248497,3.804,gzip-1,1,cpu,1100000,0.5460809646856158
3455797.7977977977,3.948,gzip-5,1,cpu,1100000,0.5450529222273355
3456496.993987976,3.95,gzip-9,1,cpu,1100000,0.5465867158671587
3441421.421421421,2.666,hash,1,cpu,1100000,0.5508264462809918
3003434.2928660824,2.0,idle,1,cpu,1100000,1.0
3436134.1341341343,3.656,decrypt,1,cpu,1200000,0.501371365880417
3433478.0,3.65,encrypt,1,cpu,1200000,0.5006858710562415
3516609.609609609,3.4880000000000004,gzip-1,1,cpu,1200000,0.5007177720356016
3528005.005005005,3.626,gzip-5,1,cpu,1200000,0.5005982512655315
3527989.97995992,3.632,gzip-9,1,cpu,1200000,0.5025830258302584
3510548.0,2.4520000000000004,hash,1,cpu,1200000,0.506611570247934
3031055.165496489,2.0,idle,1,cpu,1200000,1.0
3501013.013013013,3.366,decrypt,1,cpu,1300000,0.461601755348327
3498623.6236236235,3.374,encrypt,1,cpu,1300000,0.46282578875171476
3587025.025025025,3.224,gzip-1,1,cpu,1300000,0.46281940855584275
3601053.053053053,3.346,gzip-5,1,cpu,1300000,0.46194201564657156
3600761.523046092,3.348,gzip-9,1,cpu,1300000,0.4632841328413284
3581019.0,2.262,hash,1,cpu,1300000,0.4673553719008265
3057185.0,2.0,idle,1,cpu,1300000,1.0
3564722.44488978,3.124,decrypt,1,cpu,1400000,0.4284147010422381
3561848.848848849,3.1279999999999992,encrypt,1,cpu,1400000,0.42908093278463644
3658441.0,2.992,gzip-1,1,cpu,1400000,0.42951478610393345
3673516.0,3.104,gzip-5,1,cpu,1400000,0.4285319834330419
3673359.0,3.102,gzip-9,1,cpu,1400000,0.42924354243542434
3652556.556556557,2.1,hash,1,cpu,1400000,0.4338842975206612
3084576.0,2.0,idle,1,cpu,1400000,1.0
3630508.016032064,2.92,decrypt,1,cpu,1500000,0.4004388370817334
3626981.0,2.9240000000000004,encrypt,1,cpu,1500000,0.40109739368998637
3731987.987987988,2.794,gzip-1,1,cpu,1500000,0.4010910134941143
3746569.5695695695,2.902,gzip-5,1,cpu,1500000,0.4006442705936494
3746835.0,2.896,gzip-9,1,cpu,1500000,0.4007380073800738
3724194.1941941935,1.972,hash,1,cpu,1500000,0.40743801652892564
3110947.0,2.0,idle,1,cpu,1500000,1.0
3034626.1306532663,7.292,decrypt,1,cpu,600000,1.0
3033063.3165829144,7.289999999999999,encrypt,1,cpu,600000,1.0
3068930.7228915663,6.965999999999999,gzip-1,1,cpu,600000,1.0
3074341.137123746,7.243333333333333,gzip-5,1,cpu,600000,1.0
3073500.834724541,7.226666666666667,gzip-9,1,cpu,600000,1.0
3069580.0,4.84,hash,1,cpu,600000,1.0
2855955.0,2.0,idle,1,cpu,600000,1.0
3121603.0150753767,6.252000000000001,decrypt,1,cpu,700000,0.8573779484366431
3120981.9095477387,6.24,encrypt,1,cpu,700000,0.8559670781893005
3165764.0562249,5.994,gzip-1,1,cpu,700000,0.8604651162790699
3172040.066777963,6.2,gzip-5,1,cpu,700000,0.8559595029912563
3173396.6666666665,6.22,gzip-9,1,cpu,700000,0.86070110701107
3163740.480961924,4.156000000000001,hash,1,cpu,700000,0.8586776859504134
2899018.796992481,2.0,idle,1,cpu,700000,1.0
3183074.297188755,5.464,decrypt,1,cpu,800000,0.7493143170597917
3180473.3668341707,5.472,encrypt,1,cpu,800000,0.7506172839506174
3235627.2545090183,5.218,gzip-1,1,cpu,800000,0.7490668963537181
