,time,Run_1,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,20.0,20.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,7.38355593579,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,27.801646399,1896860.0,1869563.615
std,0.4762347482677203,0.0,0.0,0.0,0.0,0.0,0.0,0.5821534142306288,16432.968156801206,16273.190359276336
min,7.111566476,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,25.739257,1660000.0,1644932.0
25%,7.1156530557,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,27.402362,1898000.0,1868772.25
50%,7.11732074985,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,27.775394,1898000.0,1870858.0
75%,7.3842166791,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,28.210599,1898000.0,1872720.75
max,8.196295311,2.0,100000.0,599999.0,599999.0,599999.0,599999.0,29.920332,1961000.0,1914789.0
