[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1   2061       tick        648193         13036       1834803 
      2   2061       tick       1383554            77       2764527 
      3   2061       tick       1391971           101       2781317 
      4   2061       tick       1392370            92       2782106 
      5   2061       tick       1392831            75       2783058 
      6   2061       tick       1387245            84       2771925 
      7   2061       tick       1386881            74       2771148 
      8   2061       tick       1385704            98       2768847 
      9   2061       tick       1375234           132       2747890 
     10   2061       tick       1378533           133       2754499 
     11   2061       tick       1376262           151       2749999 
     12   2061       tick       1381126           113       2759768 
     13   2061       tick       1388901           104       2775226 
     14   2061       tick       1391715            97       2780819 
     15   2061       tick       1388579            82       2774562 
     16   2061       tick       1390878            88       2779144 
     17   2061       tick       1392157            96       2781674 
     18   2061       tick       1388710           109       2774835 
     19   2061       tick       1387896           120       2773198 
     20   2061       tick       1388235            93       2773976 
     21   2061       tick       1389819           118       2777031 
     22   2061       tick       1384926           117       2767270 
     23   2061       tick       1390507            96       2778367 
     24   2061       tick       1382935           112       2763337 
     25   2061       tick       1392675            92       2782719 
     26   2061       tick       1391800            93       2781024 
     27   2061       tick       1391909            87       2781252 
     28   2061       tick       1390477           111       2778362 
     29   2061       tick       1388933           106       2775245 
     30   2061       tick       1392152            93       2781714 
     31   2061       tick       1386540           120       2770470 
     32   2061       tick       1381675           124       2760872 
     33   2061       exit        119829           105        239316 
