,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,40.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,4.3143255983549995,100000.0,599999.0,599999.0,599999.0,599999.0,29.214538891,2037692.0,2018718.86
std,0.2692437721658144,0.0,0.0,0.0,0.0,0.0,0.6235690861161857,39451.35670094941,41977.47364732914
min,4.1275600611,100000.0,599999.0,599999.0,599999.0,599999.0,27.262474,1748000.0,1726538.0
25%,4.128649736025,100000.0,599999.0,599999.0,599999.0,599999.0,28.781805249999998,2036000.0,2024599.5
50%,4.131903384099999,100000.0,599999.0,599999.0,599999.0,599999.0,29.205353,2048000.0,2029470.0
75%,4.67566863,100000.0,599999.0,599999.0,599999.0,599999.0,29.64444375,2061000.0,2036952.0
max,4.724723061,100000.0,599999.0,599999.0,599999.0,599999.0,31.008344,2085000.0,2054624.0
