[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  11702       tick          1225          4014       8668675 
      2  11702       tick             1            76       8955042 
      3  11702       tick             0            48       8973119 
      4  11702       tick             1            71       8959780 
      5  11702       tick             1           120       8940942 
      6  11702       tick             0           102       8929778 
      7  11702       tick             0            66       8979856 
      8  11702       tick             0            93       8958053 
      9  11702       tick             0            94       8970569 
     10  11702       tick             0            94       8958270 
     11  11702       tick             1            81       8968450 
     12  11702       tick             1            77       8956346 
     13  11702       tick             0           105       8935089 
     14  11702       tick             0            64       8979207 
     15  11702       tick             0           114       8892358 
     16  11702       tick             3            99       8907537 
     17  11702       tick             0            91       8979955 
     18  11702       tick             0            79       8967009 
     19  11702       tick             0            93       8959772 
     20  11702       tick             0            87       8943224 
     21  11702       tick             0            85       8978736 
     22  11702       tick             0            75       8963077 
     23  11702       tick             0            94       8950261 
     24  11702       tick             0            72       8969815 
     25  11702       tick             0            96       8950089 
     26  11702       tick             0            97       8945534 
     27  11702       tick             0            66       8977103 
     28  11702       tick             0            75       8976740 
     29  11702       tick             0            97       8945461 
     30  11702       tick             0            70       8966277 
     31  11702       tick             0            90       8960776 
     32  11702       tick             0            69       8947955 
     33  11702       tick             0           101       8953755 
     34  11702       tick             0            60       8972766 
     35  11702       tick             1            94       8942823 
     36  11702       tick             0            96       8958715 
     37  11702       tick             0            84       8969696 
     38  11702       tick             0            81       8979249 
     39  11702       tick             0            92       8943832 
     40  11702       tick             0            81       8962441 
     41  11702       tick             0            85       8978762 
     42  11702       tick             0            82       8960935 
     43  11702       tick             0            86       8971131 
     44  11702       tick             0            87       8975721 
     45  11702       tick             0            94       8944000 
     46  11702       tick             0            88       8822490 
     47  11702       tick             0            72       9106734 
     48  11702       tick             1            77       8970507 
     49  11702       tick             0            98       8968365 
     50  11702       tick             0            83       8969353 
     51  11702       tick             0            86       8968130 
     52  11702       tick             0           102       8960013 
     53  11702       tick             0            80       8972113 
     54  11702       tick             0            70       8954604 
     55  11702       tick             0           111       8637390 
     56  11702       tick             0           100       9199005 
     57  11702       tick             0            92       8969848 
     58  11702       tick             0            84       8965506 
     59  11702       tick             0            93       8966994 
     60  11702       tick             1            85       8945152 
     61  11702       tick             0            97       8917309 
     62  11702       tick             0            77       8969493 
     63  11702       tick             1            77       8967900 
     64  11702       tick             1            86       8976999 
     65  11702       tick             0            93       8931375 
     66  11702       tick             0            98       8940475 
     67  11702       tick             0           123       8877724 
     68  11702       tick             0            87       8962393 
     69  11702       tick             0            80       8842893 
     70  11702       tick             0            92       9070218 
     71  11702       tick             1           101       8916813 
     72  11702       tick             0            84       8959146 
     73  11702       tick             0            83       8967633 
     74  11702       tick             1           102       8877761 
     75  11702       tick             0            89       8961521 
     76  11702       tick             1            85       8969977 
     77  11702       tick             1            97       8960234 
     78  11702       tick             0            85       8956421 
     79  11702       tick             2            72       8968527 
     80  11702       tick             0            93       8959560 
     81  11702       tick             0           104       8972417 
     82  11702       tick             1           118       8895265 
     83  11702       tick             0            96       8957535 
     84  11702       tick             1            92       8969233 
     85  11702       tick             0           120       8913580 
     86  11702       tick             0            85       8967345 
     87  11702       tick             2            96       8968257 
     88  11702       tick             0            85       8952227 
     89  11702       tick             0            92       8941130 
     90  11702       tick             0           100       8958290 
     91  11702       tick             0            92       8968295 
     92  11702       tick             0           101       8952390 
     93  11702       tick             2            89       8960942 
     94  11702       tick             0            72       8951025 
     95  11702       tick             0            92       8971589 
     96  11702       tick             0           116       8923835 
     97  11702       tick             2            71       8953626 
     98  11702       tick             1            90       8971859 
     99  11702       exit           129           106       2711996 
