[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1   7998       tick          6211        599864      16201846 
      2   7998       tick          1917        787535      21213593 
      3   7998       tick          2034        787531      21226017 
      4   7998       tick          1839        789446      21270634 
      5   7998       tick          2111        788487      21207212 
      6   7998       tick          1974        785581      21226996 
      7   7998       tick          2001        785941      21214065 
      8   7998       tick          2016        788459      21244537 
      9   7998       tick          1964        787592      21223072 
     10   7998       tick          1854        783780      21221506 
     11   7998       tick          1901        789265      21231861 
     12   7998       tick          1844        788142      21262156 
     13   7998       tick          1896        788863      21221617 
     14   7998       tick          2088        784897      21216933 
     15   7998       tick          1861        790541      21223227 
     16   7998       tick          1865        787444      21214998 
     17   7998       tick          1956        788347      21209462 
     18   7998       tick          1684        787576      21220449 
     19   7998       tick          1944        784965      21291317 
     20   7998       tick          1969        788552      21188136 
     21   7998       tick          1832        787328      21234373 
     22   7998       tick          1918        787204      21196770 
     23   7998       tick          1765        789802      21266978 
     24   7998       tick          2090        783809      21200268 
     25   7998       tick          1906        786606      21209401 
     26   7998       tick          1873        785597      21219328 
     27   7998       tick          1870        790907      21246755 
     28   7998       tick          1835        785901      21244783 
     29   7998       tick          1884        786537      21222039 
     30   7998       tick          1879        773411      20868709 
     31   7998       tick          1773        799652      21623210 
     32   7998       tick          1924        786029      21214564 
     33   7998       tick          1853        789141      21218619 
     34   7998       tick          1765        783513      21223025 
     35   7998       tick          1950        794045      21223660 
     36   7998       tick          1749        785547      21217270 
     37   7998       tick          1919        786789      21208138 
     38   7998       tick          1927        783703      21245618 
     39   7998       tick          1649        789357      21280604 
     40   7998       tick          2076        786615      21207205 
     41   7998       tick          1868        789289      21220897 
     42   7998       tick          1842        785230      21243577 
     43   7998       tick          1771        790406      21231179 
     44   7998       tick          1895        786442      21218520 
     45   7998       exit          1735        479863      12978662 
