,time,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,24.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,4.279583333333334,900000.0,900000.0,900000.0,900000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,27138.157894736843,27385.964912280702,27546.052631578947,25945.175438596492,255.0,25991.22807017544,68824.47368421052,915082.2368421053,62479.20394736842,48737.333333333336,1021060.8552631579,49000.73684210526,155014.77850877194,1063824.0131578948,164433.06140350876,222565.04605263157,1226047.149122807,272108.6447368421
std,0.1310651735212101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.60440603591,642.9160481120317,623.7654087362625,628.3230532644362,0.0,632.3945636494755,8689.157756031138,310.23251974930963,7949.012504574043,152.3366235888366,448.43749842560703,17.21999993954331,3992.350752233049,295.34690320550635,4249.441493045259,16287.293666140647,845.1364333054917,20039.257513084372
min,4.12,900000.0,900000.0,900000.0,900000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,25000.0,26000.0,26000.0,24000.0,255.0,24000.0,64938.0,915000.0,58560.0,48184.0,1020000.0,48960.0,101260.0,1063750.0,107565.0,51779.0,1216250.0,62016.0
25%,4.15,900000.0,900000.0,900000.0,900000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,27000.0,27000.0,27000.0,26000.0,255.0,26000.0,66856.0,915000.0,60390.0,48792.0,1021250.0,49008.0,154757.0,1063750.0,163702.0,221221.0,1226250.0,270946.0
50%,4.285,900000.0,900000.0,900000.0,900000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,27000.0,27000.0,28000.0,26000.0,255.0,26000.0,67130.0,915000.0,61305.0,48792.0,1021250.0,49008.0,155001.0,1063750.0,164765.0,227773.0,1226250.0,278302.0
75%,4.4025,900000.0,900000.0,900000.0,900000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,28000.0,28000.0,28000.0,26000.0,255.0,26000.0,67678.0,915000.0,61305.0,48792.0,1021250.0,49008.0,155245.0,1063750.0,164765.0,228501.0,1226250.0,279528.0
max,4.43,900000.0,900000.0,900000.0,900000.0,200000.0,200000.0,200000.0,200000.0,-1.0,-1.0,-1.0,-1.0,28000.0,28000.0,28000.0,27000.0,255.0,27000.0,127958.0,916250.0,116205.0,48944.0,1021250.0,49008.0,168238.0,1065000.0,178584.0,229229.0,1226250.0,280754.0
