power,time,task,howmany,island,frequency,time_rel
3290930.653266332,7.290000000000001,gzip-5,2,cpu,600000,1.0064427059364935
3438315.789473684,6.2575,gzip-5,2,cpu,700000,0.8638978370915785
3543607.214428858,5.463,gzip-5,2,cpu,800000,0.7542107685227796
3653933.867735471,4.859,gzip-5,2,cpu,900000,0.6708237459733088
3766983.983983984,4.372999999999999,gzip-5,2,cpu,1000000,0.6037275655775425
3881375.375375375,3.975,gzip-5,2,cpu,1100000,0.5487804878048781
3995677.3273273273,3.659,gzip-5,2,cpu,1200000,0.5051541647491946
4114029.831831832,3.3600000000000003,gzip-5,2,cpu,1300000,0.4638748274275196
4232224.224224225,3.1339999999999995,gzip-5,2,cpu,1400000,0.4326737229636446
4355602.602602603,2.9200000000000004,gzip-5,2,cpu,1500000,0.4031293143120111
