power,time,task,howmany,island,frequency,time_rel
3293333.333333333,4.8533333333333335,hash,2,cpu,600000,1.0027548209366393
3435408.4084084085,4.171,hash,2,cpu,700000,0.8617768595041323
3542686.372745491,3.648,hash,2,cpu,800000,0.7537190082644628
3651324.324324324,3.256,hash,2,cpu,900000,0.6727272727272727
3761178.178178178,2.9360000000000004,hash,2,cpu,1000000,0.606611570247934
3875252.0,2.662,hash,2,cpu,1100000,0.55
3990707.365731463,2.4470000000000005,hash,2,cpu,1200000,0.5055785123966944
4104526.4994994993,2.266,hash,2,cpu,1300000,0.4681818181818182
4225312.0,2.1089999999999995,hash,2,cpu,1400000,0.4357438016528925
4346096.096096097,1.963,hash,2,cpu,1500000,0.4055785123966942
