power,time,task,howmany,island,frequency,time_rel
3293304.8576214407,7.303333333333334,gzip-9,2,cpu,600000,1.0106088560885609
3438113.113113113,6.252999999999999,gzip-9,2,cpu,700000,0.8652675276752767
3545002.004008016,5.462000000000001,gzip-9,2,cpu,800000,0.7558118081180812
3654040.0801603207,4.859,gzip-9,2,cpu,900000,0.6723708487084871
3769103.103103103,4.38,gzip-9,2,cpu,1000000,0.6060885608856088
3880931.931931932,3.994,gzip-9,2,cpu,1100000,0.5526752767527676
3996773.173346693,3.66,gzip-9,2,cpu,1200000,0.5064575645756458
4115943.716716717,3.369,gzip-9,2,cpu,1300000,0.466190036900369
4233989.0,3.136,gzip-9,2,cpu,1400000,0.4339483394833948
4364792.0,2.928,gzip-9,2,cpu,1500000,0.4051660516605166
