power,time,task,howmany,island,frequency,time_rel
3228762.144053601,7.295000000000001,decrypt,2,cpu,600000,1.0004114097641252
3360407.0351758795,6.254999999999999,decrypt,2,cpu,700000,0.8577893582007678
3458446.2311557787,5.468,decrypt,2,cpu,800000,0.7498628634119583
3555930.7228915663,4.861,decrypt,2,cpu,900000,0.6666209544706527
3655618.2364729457,4.379,decrypt,2,cpu,1000000,0.6005211190345584
3757691.382765531,3.974,decrypt,2,cpu,1100000,0.5449808008776742
3860797.246558198,3.64875,decrypt,2,cpu,1200000,0.5003771256171147
3963003.003006012,3.367,decrypt,2,cpu,1300000,0.4617388919363686
4071380.852852853,3.129,decrypt,2,cpu,1400000,0.4291003839824465
4177632.6326326327,2.923,decrypt,2,cpu,1500000,0.4008502468458585
