,time,Command_4,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,20.0,1.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,2.3595,1.0,200000.0,200000.0,200000.0,200000.0,1885307.0175438595,1885307.0175438595,1885307.0175438595,1885307.0175438595,-1.0,-1.0,-1.0,-1.0,73864.0350877193,72633.77192982456,81859.64912280702,82894.73684210527,255.0,55081.14035087719,5303830.01754386,1274536.7324561405,6769777.013157895,53790.666666666664,1022598.6842105263,54412.30701754386,20121.43859649123,918229.1666666666,18019.78947368421,60750.68201754386,1216192.4342105263,73123.1951754386
std,0.5625269584183219,,0.0,0.0,0.0,0.0,70657.15112846611,70657.15112846611,70657.15112846611,70657.15112846611,0.0,0.0,0.0,0.0,3240.394147589638,3391.599160006292,3397.1602697830776,3491.574589982134,0.0,3758.6523792086527,418408.31968220655,37092.213490264825,716714.0293347314,1108.8016195432938,347.4687448235675,1152.86197053918,1945.0266261522238,616.9351459910307,1806.807172273528,4551.256453712111,430.75807959312846,5571.005449455851
min,0.0,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,58000.0,56000.0,64000.0,64000.0,255.0,40000.0,2415584.0,1196250.0,3199875.0,50008.0,1021250.0,51050.0,15250.0,917500.0,13755.0,48958.0,1215000.0,58368.0
25%,2.4975,1.0,200000.0,200000.0,200000.0,200000.0,1800000.0,1800000.0,1800000.0,1800000.0,-1.0,-1.0,-1.0,-1.0,74000.0,73000.0,82000.0,83000.0,255.0,55000.0,5037764.0,1247500.0,6280461.0,53808.0,1022500.0,54166.0,19520.0,917500.0,17423.0,57512.0,1216250.0,69312.0
50%,2.52,1.0,200000.0,200000.0,200000.0,200000.0,1900000.0,1900000.0,1900000.0,1900000.0,-1.0,-1.0,-1.0,-1.0,75000.0,74000.0,83000.0,84000.0,255.0,57000.0,5263266.0,1268750.0,6685923.0,54264.0,1022500.0,55188.0,20252.0,918750.0,18360.0,60515.0,1216250.0,72960.0
75%,2.53,1.0,200000.0,200000.0,200000.0,200000.0,1900000.0,1900000.0,1900000.0,1900000.0,-1.0,-1.0,-1.0,-1.0,75000.0,74000.0,83000.0,84000.0,255.0,57000.0,5408828.5,1278750.0,6909699.75,54568.0,1022500.0,55188.0,20496.0,918750.0,18360.0,62972.0,1216250.0,75392.0
max,2.54,1.0,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,77000.0,76000.0,86000.0,88000.0,255.0,58000.0,6226376.0,1345000.0,8373970.0,55024.0,1023750.0,56265.0,35502.0,918750.0,32095.0,80717.0,1217500.0,97360.0
