,time,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,5.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,1.9579999999999997,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,33921.05263157895,32087.719298245614,32875.0,32475.877192982458,255.0,29315.78947368421,883995.504385965,1165693.5307017544,1029769.1469298246,49125.333333333336,1021573.4649122807,49571.366228070176,14272.52850877193,918623.9035087719,12506.388157894737,160449.36403508772,1225838.8157894737,195892.41228070174
std,0.004472135954999583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.2207374153388,1336.2989960138555,1424.954211718575,1421.7576562962263,0.0,1329.7329450050527,6878.184433967515,632.8609651836119,8056.474863667957,247.97797373532083,613.1147741154781,510.43682615414093,1750.5453377177191,376.8710151995661,1641.5685103817748,8513.879587463318,791.9970037215991,10496.361919024399
min,1.95,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,29000.0,28000.0,28000.0,27000.0,255.0,25000.0,871046.0,1163750.0,1015586.0,48488.0,1020000.0,48960.0,12993.0,917500.0,11016.0,79261.0,1220000.0,96380.0
25%,1.96,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,33000.0,31000.0,32000.0,32000.0,255.0,28000.0,879814.0,1165000.0,1024914.0,48944.0,1021250.0,49008.0,13725.0,918750.0,11934.0,162708.0,1225000.0,198612.0
50%,1.96,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,34000.0,32000.0,33000.0,33000.0,255.0,29000.0,882828.0,1166250.0,1028412.0,49248.0,1021250.0,50029.0,13969.0,918750.0,11934.0,162981.0,1226250.0,198612.0
75%,1.96,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,35000.0,33000.0,34000.0,34000.0,255.0,30000.0,885842.0,1166250.0,1031910.0,49248.0,1022500.0,50029.0,14274.0,918750.0,12852.0,163254.0,1226250.0,199838.0
max,1.96,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,37000.0,34000.0,35000.0,36000.0,255.0,31000.0,945848.0,1166250.0,1101870.0,49704.0,1022500.0,50078.0,27267.0,918750.0,24786.0,167713.0,1226250.0,204742.0
