[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1   5676       tick         15202        459272       3281630 
      2   5676       tick          1280        174375       1435154 
      3   5676       tick          1177          5825        182653 
      4   5676       tick           994          5781        182894 
      5   5676       tick          1158          5778        182779 
      6   5676       tick          1142          5845        182661 
      7   5676       tick          1213          5863        182621 
      8   5676       tick          1083          5888        182824 
      9   5676       tick          1242          5780        182413 
     10   5676       tick          1159          5863        182064 
     11   5676       tick          1119          5826        182619 
     12   5676       tick           990          5763        183335 
     13   5676       tick          1255          5809        182447 
     14   5676       tick          1140          5793        182711 
     15   5676       tick          1078          5805        182722 
     16   5676       tick          1050          5825        182606 
     17   5676       tick          1143          5865        182241 
     18   5676       tick          1046          5837        182854 
     19   5676       tick          1054          5750        182615 
     20   5676       tick          1213          5789        182120 
     21   5676       tick          1221          5748        182652 
     22   5676       tick           983          5669        182917 
     23   5676       tick          1117          5714        182666 
     24   5676       tick          1108          5668        182869 
     25   5676       tick          1060          5735        183223 
     26   5676       tick          1028          5762        182684 
     27   5676       tick          1048          5715        182729 
     28   5676       tick          1279          5752        182321 
     29   5676       tick          1068          5721        182745 
     30   5676       tick          1046          5779        182450 
     31   5676       tick          1001          5689        182985 
     32   5676       tick          1284          5737        182262 
     33   5676       tick          1167          5698        182655 
     34   5676       tick          1145          5714        182811 
     35   5676       tick          1116          5768        182893 
     36   5676       tick          1157          5713        182692 
     37   5676       tick          1139          5824        182348 
     38   5676       tick          1122          5742        182065 
     39   5676       tick          1063          5678        183291 
     40   5676       tick          1117          5796        182162 
     41   5676       tick          1107          5683        183020 
     42   5676       tick          1154          5687        182785 
     43   5676       tick          1038          5794        182939 
     44   5676       tick          1264          5717        182517 
     45   5676       tick           925          5668        183204 
     46   5676       tick          1074          5730        182733 
     47   5676       tick          1084          5673        182722 
     48   5676       tick          1224          5747        182610 
     49   5676       tick          1237          5669        182397 
     50   5676       tick          1183          5974        181005 
     51   5676       tick          1055          5705        182680 
     52   5676       tick          1048          5674        182764 
     53   5676       tick          1057          5763        182629 
     54   5676       tick          1098          5726        182596 
     55   5676       tick          1093          5781        182978 
     56   5676       tick          1175          5686        182323 
     57   5676       tick          1187          5866        182695 
     58   5676       tick          1230          5691        182589 
     59   5676       tick          1112          5715        182526 
     60   5676       tick          1287          5750        181812 
     61   5676       tick          1156          5753        182760 
     62   5676       tick          1047          5625        182790 
     63   5676       tick          1111          5628        182928 
     64   5676       tick          1127          5705        182641 
     65   5676       tick          1027          5692        183010 
     66   5676       tick          1025          5750        183164 
     67   5676       tick          1117          5629        182833 
     68   5676       tick          1029          5652        183047 
     69   5676       tick           960          5664        182899 
     70   5676       tick          1166          5747        182289 
     71   5676       tick          1029          5731        182926 
     72   5676       tick           973          5649        183081 
     73   5676       tick          1180          5657        182769 
     74   5676       tick          1063          5772        182674 
     75   5676       tick          1057          5655        183058 
     76   5676       tick           993          5799        182909 
     77   5676       tick          1288          5738        182109 
     78   5676       tick          1106          5740        182829 
     79   5676       tick          1098          5682        182391 
     80   5676       tick          1083          5692        182705 
     81   5676       tick          1192          5673        182293 
     82   5676       tick          1061          5669        183009 
     83   5676       tick          1006          5693        182725 
     84   5676       tick          1121          5708        182479 
     85   5676       tick           936          5699        183093 
     86   5676       tick          1051          5680        182905 
     87   5676       tick           912          5646        183138 
     88   5676       tick          1081          5735        182592 
     89   5676       exit          2393         12907        197546 
