frequency,power,task,island,voltage,time,howmany,time_rel
200000,121799.03289473684,cachekiller,big,914983.552631579,3.97,1,0.6338477913783929
300000,163001.14254385966,cachekiller,big,914232.4561403508,3.0516666666666663,1,0.4872272485364555
400000,200135.43859649124,cachekiller,big,914457.2368421052,2.635,1,0.4207025013304949
500000,233924.8355263158,cachekiller,big,913695.1754385964,2.4366666666666665,1,0.3890367216604577
600000,261563.2083333333,cachekiller,big,912667.2149122808,2.3000000000000003,1,0.3672166045769027
700000,292314.90789473685,cachekiller,big,912532.894736842,2.236666666666667,1,0.3571048430015967
800000,331668.06359649124,cachekiller,big,924643.6403508772,2.2016666666666667,1,0.3515167642362959
900000,384463.5679824561,cachekiller,big,947757.6754385964,2.19,1,0.349654071314529
1000000,428009.7938596491,cachekiller,big,962650.7675438595,2.1766666666666663,1,0.3475252794039382
1100000,486400.475877193,cachekiller,big,987987.9385964912,2.18,1,0.348057477381586
1200000,553260.6030701754,cachekiller,big,1013618.4210526316,2.1733333333333333,1,0.3469930814262906
1300000,624791.8355263158,cachekiller,big,1038791.1184210526,2.146666666666667,1,0.3427354976051092
1400000,699245.7478070175,cachekiller,big,1063999.451754386,2.145,1,0.3424693986162853
1500000,779191.1535087719,cachekiller,big,1089128.2894736845,2.146666666666667,1,0.3427354976051092
1600000,894152.004385965,cachekiller,big,1127552.0833333333,2.14,1,0.3416711016498138
1700000,1025009.0416666666,cachekiller,big,1165997.8070175438,2.148,1,0.3429483767961682
1800000,1168630.6973684211,cachekiller,big,1203769.1885964912,2.226,1,0.355401809473124
1900000,1354831.75877193,cachekiller,big,1254018.6403508773,2.2120000000000006,1,0.3531665779670038
2000000,1627036.3684210526,cachekiller,big,1317357.4561403508,2.176,1,0.3474188398084087
