,Command_4,time,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,1.0,10.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,1.0,2.0200000000000005,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,62967.10526315789,49350.87719298246,52997.80701754386,65666.66666666667,255.0,45557.01754385965,3386450.7236842103,1329067.9824561405,4498661.706140351,51239.666666666664,1022500.0,51756.695175438595,15968.756578947368,918651.3157894737,14143.197368421053,36532.10964912281,1215016.4473684211,43911.07675438596
std,,0.7097887009526145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.8681894854044,3362.3185515397176,3699.4201526688776,4104.495882186563,0.0,3309.8313571658528,183534.8670975662,1074.95723795312,245208.52761861542,623.5097773819128,248.62257904942345,612.5640412887204,1707.630097359253,337.4409529993857,1578.347206357725,1973.0402637696322,142.59482857353805,2370.1804374738495
min,1.0,0.0,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,49000.0,38000.0,40000.0,50000.0,255.0,34000.0,751856.0,1316250.0,988316.0,49248.0,1021250.0,50029.0,12993.0,917500.0,11016.0,33488.0,1215000.0,40095.0
25%,1.0,2.24,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,62000.0,48000.0,52000.0,64000.0,255.0,44000.0,3379927.0,1328750.0,4488640.0,50920.0,1022500.0,51100.0,15494.0,918750.0,13770.0,35217.0,1215000.0,42525.0
50%,1.0,2.245,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,64000.0,51000.0,54000.0,67000.0,255.0,47000.0,3419246.0,1328750.0,4540432.0,51528.0,1022500.0,52122.0,15982.0,918750.0,13770.0,36036.0,1215000.0,43740.0
75%,1.0,2.25,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,66000.0,52000.0,56000.0,69000.0,255.0,48000.0,3437124.5,1330000.0,4566992.0,51680.0,1022500.0,52122.0,16226.0,918750.0,14688.0,37219.0,1215000.0,44955.0
max,1.0,2.25,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,67000.0,53000.0,58000.0,70000.0,255.0,49000.0,3510214.0,1330000.0,4668300.0,52288.0,1023750.0,53144.0,26230.0,918750.0,23868.0,45955.0,1216250.0,54720.0
