,time,Command_4,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,20.0,1.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,2.3474999999999993,1.0,200000.0,200000.0,200000.0,200000.0,1860526.3157894737,1860526.3157894737,1860526.3157894737,1860526.3157894737,-1.0,-1.0,-1.0,-1.0,74000.0,72848.68421052632,81894.73684210527,82690.78947368421,255.0,55868.42105263158,5177787.614035088,1261546.0526315789,6546495.927631579,53988.666666666664,1022565.7894736842,54648.475877192985,20260.56140350877,918347.0394736842,18160.513157894737,60211.06798245614,1216148.5745614036,72459.26315789473
std,0.5579744853627174,,0.0,0.0,0.0,0.0,76020.14892264377,76020.14892264377,76020.14892264377,76020.14892264377,0.0,0.0,0.0,0.0,2808.9339419270595,2973.3465108668734,3006.566940176213,3096.045444973233,0.0,3485.008793770069,431251.46097311523,40899.250588118986,761914.8484491141,1064.2095031837794,291.4583105523877,1131.2624881075253,1805.4193134339246,584.8706127027061,1656.9224470176282,3040.07810877552,341.6880315608013,3702.5075412797046
min,0.0,1.0,200000.0,200000.0,200000.0,200000.0,1700000.0,1700000.0,1700000.0,1700000.0,-1.0,-1.0,-1.0,-1.0,59000.0,57000.0,65000.0,66000.0,255.0,41000.0,4304266.0,1187500.0,5186003.0,50312.0,1021250.0,51050.0,15494.0,917500.0,13755.0,50505.0,1215000.0,60800.0
25%,2.4775,1.0,200000.0,200000.0,200000.0,200000.0,1800000.0,1800000.0,1800000.0,1800000.0,-1.0,-1.0,-1.0,-1.0,74000.0,73000.0,81000.0,82000.0,255.0,56000.0,4815481.5,1225000.0,5899293.75,53960.0,1022500.0,54166.0,19764.0,917500.0,17442.0,57785.0,1216250.0,69312.0
50%,2.5,1.0,200000.0,200000.0,200000.0,200000.0,1800000.0,1800000.0,1800000.0,1800000.0,-1.0,-1.0,-1.0,-1.0,74000.0,73000.0,82000.0,83000.0,255.0,57000.0,5078727.0,1250000.0,6343905.0,54264.0,1022500.0,55188.0,20252.0,918750.0,18360.0,59514.0,1216250.0,71744.0
75%,2.51,1.0,200000.0,200000.0,200000.0,200000.0,1900000.0,1900000.0,1900000.0,1900000.0,-1.0,-1.0,-1.0,-1.0,75000.0,74000.0,84000.0,85000.0,255.0,58000.0,5404102.0,1278750.0,6901227.25,54568.0,1022500.0,55188.0,20496.0,918750.0,18360.0,61971.0,1216250.0,74176.0
max,2.54,1.0,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,78000.0,76000.0,86000.0,87000.0,255.0,59000.0,6185824.0,1345000.0,8300270.0,55024.0,1023750.0,56265.0,30256.0,918750.0,27540.0,70252.0,1216250.0,85120.0
