frequency,power,task,island,voltage,time,howmany,time_rel
1200000,65394.866228070176,gzip-5,little,1176551.535087719,,0,
1200000,214175.5679824561,gzip-5,little,1174991.7763157894,5.7683333333333335,1,0.1663382515499591
1200000,312690.4364035088,gzip-5,little,1159383.2236842106,6.204166666666667,2,0.17890613735762
1200000,372307.7785087719,gzip-5,little,1156384.320175439,7.208333333333333,3,0.2078627385014658
1200000,413258.6732456141,gzip-5,little,1155391.995614035,8.461666666666666,4,0.2440044215888883
