UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,thermal_zone_temp0
100000,,,,,,,,,
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,40894,0,0,0,40894
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,40894,0,0,0,40894
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,40894,0,0,0,40894
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,40894,0,0,0,40894
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,40894,0,0,0,40894
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,40894,0,0,0,40894
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,43329,0,0,0,43329
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,40894,0,0,0,40894
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,43329,0,0,0,43329
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,40407,0,0,0,40407
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42842,0,0,0,42842
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,41868,0,0,0,41868
,700000,700000,700000,700000,42355,0,0,0,42355
,700000,700000,700000,700000,41381,0,0,0,41381
,700000,700000,700000,700000,40407,0,0,0,40407
,700000,700000,700000,700000,42842,0,0,0,42842
