,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,15.0,5.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
mean,3.9813333333333327,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,44614.99199199199,0.0,0.0,0.0,4155991.5695695695,827715.7157157157,5017990.990990991,44614.01701701702
std,0.015055453054181522,0.0,0.0,0.0,0.0,0.0,942.7551434263563,0.0,0.0,0.0,76013.36950898265,15176.360139289594,2840.9612881911858,942.069070173023
min,3.96,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,41381.0,0.0,0.0,0.0,3000000.0,597000.0,5010000.0,41381.0
25%,3.97,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,44303.0,0.0,0.0,0.0,4160000.0,828000.0,5019000.0,44303.0
50%,3.98,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,44790.0,0.0,0.0,0.0,4163999.0,829000.0,5019000.0,44790.0
75%,3.9850000000000003,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,45277.0,0.0,0.0,0.0,4168000.0,830000.0,5019000.0,45277.0
max,4.01,100000.0,1100000.0,1100000.0,1100000.0,1100000.0,47225.0,0.0,0.0,0.0,4210000.0,838000.0,5019000.0,47225.0
