power,island,task,time,howmany,frequency,time_rel
1943676.0,cpu,cacherate-40,4.30975047863,2,299999,1.0171180012586296
1975180.0,cpu,cacherate-60,3.21668149219,2,299999,1.0562134482960137
1971683.3166833168,cpu,cacherate-80,2.11756006266,2,299999,0.9107237935599249
1686075.0,cpu,decrypt,15.72856420303,2,299999,0.9753838848062468
1686014.0,cpu,encrypt,15.59982303789,2,299999,0.9716183885611019
1697545.4545454546,cpu,gzip-1,18.83163678488,2,299999,0.9855324347619107
1697108.0,cpu,gzip-5,20.04838431315,2,299999,0.9932524303540178
1696988.0,cpu,gzip-9,19.92610356395,2,299999,0.9869647471354781
1694260.7392607392,cpu,hash,11.21846635133,2,299999,0.9953344299102546
1612692.0,cpu,idle,2.0045279759800003,2,299999,1.0000076611939752
2020843.0,cpu,cachekiller,2.2534626218085707,2,399999,0.9670938792583872
1706176.0,cpu,cacherate-0,8.188555590890001,2,399999,0.7267878388223084
2019524.0,cpu,cacherate-100,2.3280546207257142,2,399999,1.0077661108622484
1919892.0,cpu,cacherate-20,6.292112828855,2,399999,0.7766007440849906
2036502.0,cpu,cacherate-40,3.32908795024,2,399999,0.7856778017085285
2023725.0,cpu,cacherate-60,2.1319930252866666,2,399999,0.7000505677818818
2019486.0,cpu,cacherate-80,2.3099359802728565,2,399999,0.9934611517899772
1712561.0,cpu,decrypt,11.7818786961,2,399999,0.7306359604460366
1712113.0,cpu,encrypt,11.59061520651,2,399999,0.7219091423042372
1721908.0,cpu,gzip-1,14.23799310226,2,399999,0.745129282626136
1721510.0,cpu,gzip-5,14.882780923360002,2,399999,0.7373341458173162
1721895.0,cpu,gzip-9,14.8174230265,2,399999,0.7339254322158094
1718088.0,cpu,hash,8.309655824905,2,399999,0.7372564381094475
1616637.0,cpu,idle,2.005381127784,2,399999,1.0004332767754909
2077299.0,cpu,cachekiller,2.320759671611429,2,599999,0.9959750172575865
1759104.0,cpu,cacherate-0,5.110288539523333,2,599999,0.45357151480178143
2073083.0,cpu,cacherate-100,2.29412975738625,2,599999,0.9930807476904481
2037692.0,cpu,cacherate-20,4.314325598355,2,599999,0.5324933867273197
2102852.0,cpu,cacherate-40,3.173110919725,2,599999,0.7488666112912808
2081826.0,cpu,cacherate-60,2.288996777514286,2,599999,0.7516035346946381
2079057.0,cpu,cacherate-80,2.3218227729425003,2,599999,0.9985734435753444
1758291.0,cpu,decrypt,7.590871335940001,2,599999,0.47073677400809477
1758283.0,cpu,encrypt,7.654578558014999,2,599999,0.4767572853607739
1781767.0,cpu,gzip-1,9.40787805516,2,599999,0.49235066880056466
1780953.0,cpu,gzip-5,9.784886617207144,2,599999,0.4847703566269313
1780235.0,cpu,gzip-9,9.55501403335333,2,599999,0.47327175526508664
1767174.0,cpu,hash,5.3088756346866655,2,599999,0.47101863461834415
1615345.0,cpu,idle,2.00239691671,2,599999,0.998944530311296
2348953.0,cpu,cachekiller,2.8524369326677776,3,1199999,1.2241491258193649
2074366.0,cpu,cacherate-0,2.1058481490488887,3,1199999,0.18690778955423226
2352268.0,cpu,cacherate-100,2.243993711946666,3,1199999,0.9713779031451116
2504256.0,cpu,cacherate-20,3.296434430269333,3,1199999,0.40686070021417614
2405788.0,cpu,cacherate-40,3.342079069692,3,1199999,0.7887437568065441
2368910.0,cpu,cacherate-60,3.111377455987778,3,1199999,1.0216363415894016
2359299.0,cpu,cacherate-80,2.1974313958631577,3,1199999,0.9450749908903536
2063997.0,cpu,decrypt,3.325066271530667,3,1199999,0.2061991174336829
2063247.0,cpu,encrypt,3.3547534770853336,3,1199999,0.20894725276744447
2111912.0,cpu,gzip-1,4.291089013809999,3,1199999,0.2245692953761588
2109559.0,cpu,gzip-5,5.064454292173334,3,1199999,0.25090707837332177
2110060.0,cpu,gzip-9,5.0538721932,3,1199999,0.2503245893111217
2047690.0,cpu,hash,2.20153447409902,3,1199999,0.19532643697285204
1622822.0,cpu,idle,2.0013826006933337,3,1199999,0.9984385140323054
2054924.075924076,cpu,cachekiller,3.239729169052,3,299999,1.390359094277094
