island,frequency,task,power,time
cpu,299999,cachekiller,674182.6666666666,1.8844268699348483
cpu,399999,cachekiller,697778.2666666666,1.826161618867279
cpu,599999,cachekiller,717998.2333333333,1.7829808943301586
cpu,1199999,cachekiller,767015.3,1.6030340905488636
cpu,299999,cacherate-0,571635.0,1.026254779740994
cpu,399999,cacherate-0,584789.9666666667,0.7553576979213613
cpu,599999,cacherate-0,610743.7,0.4794693205063919
cpu,1199999,cacherate-0,690878.3,0.2077328262038793
cpu,299999,cacherate-100,674163.6333333333,1.856557734164329
cpu,399999,cacherate-100,697276.8666666667,1.4492954589625775
cpu,599999,cacherate-100,718054.3666666667,1.4697628323709282
cpu,1199999,cacherate-100,767222.4,1.4271382454376869
cpu,299999,cacherate-20,643215.0333333333,1.1494670558997055
cpu,399999,cacherate-20,677607.5,0.8208500848900847
cpu,599999,cacherate-20,733852.3,0.6528525238895048
cpu,1199999,cacherate-20,811106.0666666667,0.6187230611781821
cpu,299999,cacherate-40,681162.2333333333,1.2811295967217875
cpu,399999,cacherate-40,710265.8,1.0480325148469174
cpu,599999,cacherate-40,734519.3333333334,1.0455931595350727
cpu,1199999,cacherate-40,782201.7333333333,1.0142037990159505
cpu,299999,cacherate-60,677858.1,1.5224203937988523
cpu,399999,cacherate-60,703378.0666666667,1.4066947778610022
cpu,599999,cacherate-60,723086.4,1.3780356451478697
cpu,1199999,cacherate-60,772257.2333333333,1.3493975020627236
cpu,299999,cacherate-80,675515.9,1.9051797172384504
cpu,399999,cacherate-80,699350.0,1.7276706729592537
cpu,599999,cacherate-80,719769.6333333333,1.4419633527625193
cpu,1199999,cacherate-80,769297.2,1.4739311320573254
cpu,299999,decrypt,571695.5333333333,1.0
cpu,399999,decrypt,584632.5333333333,0.7491042464181238
cpu,599999,decrypt,609401.5333333333,0.4823358942261627
cpu,1199999,decrypt,687991.9333333333,0.2173102126751043
cpu,299999,encrypt,571364.7666666666,1.0
cpu,399999,encrypt,584439.4333333333,0.7503677422930418
cpu,599999,encrypt,608953.5333333333,0.4827539461326619
cpu,1199999,encrypt,687867.6,0.2172759499111068
cpu,299999,gzip-1,575851.7666666666,1.0536752046271212
cpu,399999,gzip-1,590225.4,0.7735253379817785
cpu,599999,gzip-1,620168.4666666667,0.4982601788282427
cpu,1199999,gzip-1,703544.1333333333,0.2407991684715767
cpu,299999,gzip-5,575459.1666666666,1.0287554237076495
cpu,399999,gzip-5,589562.8333333334,0.7661315827558777
cpu,599999,gzip-5,619649.0,0.5055210101170508
cpu,1199999,gzip-5,702947.5666666667,0.2587141090047903
cpu,299999,gzip-9,575505.5666666667,1.0318497201311527
cpu,399999,gzip-9,589415.2,0.7686758585135678
cpu,599999,gzip-9,619538.1333333333,0.5120055803209966
cpu,1199999,gzip-9,703128.6,0.2593664840186362
cpu,299999,hash,572784.9333333333,1.0129588204675597
cpu,399999,hash,586595.3,0.7449220914483804
cpu,599999,hash,611643.3666666667,0.4748316159886991
cpu,1199999,hash,684365.7,0.1979025276204409
cpu,299999,idle,1611400.0,0.0
cpu,399999,idle,1618454.0,0.0
cpu,599999,idle,1621317.0,0.0
cpu,1199999,idle,1636175.0,0.0
