howmany,island,frequency,task,power,time
2,cpu,299999,gzip-9,2762411.133333333,1.0318497201311527
2,cpu,399999,gzip-9,2797284.4000000004,0.7686758585135678
2,cpu,599999,gzip-9,2860393.2666666666,0.5120055803209966
2,cpu,1199999,gzip-9,3042432.2,0.2593664840186362
2,cpu,299999,hash,2756969.866666667,1.0129588204675597
2,cpu,399999,hash,2791644.5999999996,0.7449220914483804
2,cpu,599999,hash,2844603.7333333334,0.4748316159886991
2,cpu,1199999,hash,3004906.4000000004,0.1979025276204409
2,cpu,299999,idle,1611400.0,0.0
2,cpu,399999,idle,1618454.0,0.0
2,cpu,599999,idle,1621317.0,0.0
2,cpu,1199999,idle,1636175.0,0.0
3,cpu,299999,cachekiller,3633947.9999999995,1.8844268699348483
3,cpu,399999,cachekiller,3711788.8,1.826161618867279
3,cpu,599999,cachekiller,3775311.7,1.7829808943301586
3,cpu,1199999,cachekiller,3937220.8999999994,1.6030340905488636
3,cpu,299999,cacherate-0,3326305.0,1.026254779740994
3,cpu,399999,cacherate-0,3372823.9000000004,0.7553576979213613
3,cpu,599999,cacherate-0,3453548.1000000006,0.4794693205063919
3,cpu,1199999,cacherate-0,3708809.8999999994,0.2077328262038793
3,cpu,299999,cacherate-100,3633890.9,1.856557734164329
3,cpu,399999,cacherate-100,3710284.6,1.4492954589625775
3,cpu,599999,cacherate-100,3775480.1,1.4697628323709282
3,cpu,1199999,cacherate-100,3937842.1999999997,1.4271382454376869
3,cpu,299999,cacherate-20,3541045.0999999996,1.1494670558997055
3,cpu,399999,cacherate-20,3651276.5,0.8208500848900847
3,cpu,599999,cacherate-20,3822873.8999999994,0.6528525238895048
3,cpu,1199999,cacherate-20,4069493.1999999993,0.6187230611781821
3,cpu,299999,cacherate-40,3654886.7,1.2811295967217875
3,cpu,399999,cacherate-40,3749251.3999999994,1.0480325148469174
3,cpu,599999,cacherate-40,3824875.0000000005,1.0455931595350727
3,cpu,1199999,cacherate-40,3982780.2,1.0142037990159505
3,cpu,299999,cacherate-60,3644974.3000000003,1.5224203937988523
3,cpu,399999,cacherate-60,3728588.1999999993,1.4066947778610022
3,cpu,599999,cacherate-60,3790576.1999999997,1.3780356451478697
3,cpu,1199999,cacherate-60,3952946.7,1.3493975020627236
