,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,20.0,5.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0
mean,2.2794999999999996,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,53026.5035105316,0.0,0.0,0.0,5317125.376128385,1060962.888665998,5018124.373119358,53026.5035105316
std,0.010500626547722635,0.0,0.0,0.0,0.0,0.0,1938.6512372566085,0.0,0.0,0.0,17288.46122563117,3508.11264041411,2668.5318025318898,1938.6512372566085
min,2.26,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,46738.0,0.0,0.0,0.0,5267000.0,1051000.0,5010000.0,46738.0
25%,2.27,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,52095.0,0.0,0.0,0.0,5305000.0,1059000.0,5019000.0,52095.0
50%,2.28,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,53556.0,0.0,0.0,0.0,5316000.0,1061000.0,5019000.0,53556.0
75%,2.29,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,54530.0,0.0,0.0,0.0,5332000.0,1064000.0,5019000.0,54530.0
max,2.3,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,56478.0,0.0,0.0,0.0,5347000.0,1068000.0,5019000.0,56478.0
