howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min,time
0,big,cacherate-0,1200000,120159.0,122213.0,123240.0,206226.0,123850.00877192985,116964.0,2.0,2.0,2.0,2.0,2.0,2.0,,1027500.0,1027500.0,1027500.0,1027500.0,1027431.4692982456,1026250.0,
1,big,cacherate-0,1200000,442244.0,443256.0,444268.0,489808.0,443115.6885964912,294048.0,3.32,3.32,3.32,3.32,3.32,3.32,0.1336912751677852,1012500.0,1012500.0,1012500.0,1021250.0,1012623.355263158,1012500.0,
2,big,cacherate-0,1200000,769370.0,771400.0,772919.0,911470.0,768715.7214912281,184680.0,3.32,3.32,3.32,3.33,3.3208333333333333,3.32,0.1337248322147651,1013750.0,1013750.0,1015000.0,1026250.0,1014232.4561403508,1013750.0,
3,big,cacherate-0,1200000,1100328.0,1102360.0,1104392.0,1212264.0,1100056.6228070175,280302.0,3.33,3.33,3.33,3.33,3.33,3.33,0.1340939597315436,1016250.0,1016250.0,1016250.0,1023750.0,1016200.6578947369,1015000.0,
4,big,cacherate-0,1200000,1425834.0,1428496.0,1430919.0,1460412.0,1427250.826754386,1005840.0,3.33,3.34,3.34,3.34,3.335833333333333,3.33,0.1343288590604027,1017500.0,1017500.0,1017500.0,1017500.0,1017310.855263158,1016250.0,
