howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min,time
0,little,cacherate-60,200000,9180.0,9180.0,9180.0,12852.0,9238.804824561405,8253.0,2.01,2.01,2.01,2.01,2.01,2.01,,918750.0,918750.0,918750.0,918750.0,918552.6315789474,917500.0,
1,little,cacherate-60,200000,21091.0,21091.0,21114.0,25676.0,20955.370614035088,9170.0,6.5625,6.605,6.6175,6.63,6.59,6.53,1.0,917500.0,917500.0,918750.0,918750.0,917891.995614035,917500.0,
2,little,cacherate-60,200000,33012.0,33012.0,33012.0,33929.0,33026.38157894737,11934.0,7.23,7.24,7.2875,7.32,7.255,7.2,1.1009104704097117,917500.0,917500.0,917500.0,918750.0,917513.7061403508,917500.0,
3,little,cacherate-60,200000,44016.0,44016.0,44016.0,44933.0,43824.44736842105,11016.0,10.5325,10.575,10.61,10.7,10.585,10.51,1.6062215477996966,917500.0,917500.0,917500.0,918750.0,917541.1184210526,917500.0,
4,little,cacherate-60,200000,46818.0,46818.0,47736.0,50435.0,47170.79605263158,23842.0,14.0,14.02,14.055,14.17,14.040416666666667,13.98,2.130563985837127,917500.0,918750.0,918750.0,918750.0,918223.6842105264,917500.0,
