,Command_4,time,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
count,1.0,15.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0
mean,1.0,2.5639999999999996,200000.0,200000.0,200000.0,200000.0,1970614.0350877193,1970614.0350877193,1970614.0350877193,1970614.0350877193,-1.0,-1.0,-1.0,-1.0,72263.15789473684,60991.228070175435,79201.75438596492,81611.84210526316,255.0,52912.28070175439,4660446.171052632,1318574.5614035088,6145927.25877193,53038.0,1022571.2719298246,53604.23245614035,18905.050438596492,918462.1710526316,16835.969298245614,47071.54605263158,1215309.75877193,56472.01096491228
std,,0.8337848300713697,0.0,0.0,0.0,0.0,45602.87416658857,45602.87416658857,45602.87416658857,45602.87416658857,0.0,0.0,0.0,0.0,4429.278474873926,4421.715870087285,4640.348271433999,4932.577520403981,0.0,4142.646398447714,216905.3042491309,21124.062625007347,361507.58114677516,1051.2053322493425,312.9394923809588,1034.607156278848,2096.347471324179,526.8295190147029,1956.6753197062712,2312.3054225394326,540.2666689230956,2834.0815575076135
min,1.0,0.0,200000.0,200000.0,200000.0,200000.0,1900000.0,1900000.0,1900000.0,1900000.0,-1.0,-1.0,-1.0,-1.0,55000.0,44000.0,60000.0,61000.0,255.0,38000.0,3065238.0,1272500.0,4067255.0,49704.0,1021250.0,50078.0,14274.0,917500.0,12838.0,40222.0,1215000.0,48600.0
25%,1.0,2.39,200000.0,200000.0,200000.0,200000.0,1900000.0,1900000.0,1900000.0,1900000.0,-1.0,-1.0,-1.0,-1.0,72000.0,60750.0,79000.0,82000.0,255.0,52000.0,4536823.5,1301250.0,5904747.75,52744.0,1022500.0,53144.0,18239.0,918750.0,16506.0,45500.0,1215000.0,54675.0
50%,1.0,2.46,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,74000.0,63000.0,81000.0,83000.0,255.0,55000.0,4703758.0,1329375.0,6232894.5,53504.0,1022500.0,54166.0,18971.0,918750.0,16524.0,46774.0,1215000.0,55890.0
75%,1.0,3.175,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,75000.0,64000.0,82000.0,84000.0,255.0,56000.0,4831990.0,1337500.0,6445210.5,53808.0,1022500.0,54166.0,19520.0,918750.0,17442.0,48230.0,1215000.0,58320.0
max,1.0,3.48,200000.0,200000.0,200000.0,200000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1.0,-1.0,-1.0,-1.0,77000.0,65000.0,84000.0,86000.0,255.0,56000.0,4928164.0,1338750.0,6588736.0,54264.0,1023750.0,55188.0,35014.0,918750.0,32130.0,58513.0,1216250.0,70528.0
