frequency,power,task,island,voltage,time,howmany,time_rel
200000,30496.85307017544,idle,big,915180.9210526316,2.01,2,1.0
300000,37825.12938596492,idle,big,914989.0350877192,2.0016666666666665,2,0.995854063018242
400000,43397.24780701754,idle,big,914964.3640350878,2.0,2,0.9950248756218908
500000,49908.63157894737,idle,big,915024.6710526316,2.0,2,0.9950248756218908
600000,57372.71929824561,idle,big,914969.846491228,2.0,2,0.9950248756218908
700000,63175.5701754386,idle,big,915082.2368421052,2.0,2,0.9950248756218908
800000,71166.65789473684,idle,big,927617.8728070176,2.0,2,0.9950248756218908
900000,83768.17324561403,idle,big,952985.197368421,2.0,2,0.9950248756218908
1000000,96591.80263157896,idle,big,977524.6710526316,2.0,2,0.9950248756218908
1100000,110869.64912280702,idle,big,1002467.105263158,2.0,2,0.9950248756218908
1200000,127256.00438596492,idle,big,1027527.4122807018,2.0,2,0.9950248756218908
1300000,145443.05263157896,idle,big,1052379.3859649124,2.0,2,0.9950248756218908
1400000,163934.99342105264,idle,big,1077302.6315789474,2.0,2,0.9950248756218908
1500000,183576.7105263158,idle,big,1102412.2807017544,2.0,2,0.9950248756218908
1600000,211394.72807017545,idle,big,1139819.0789473683,2.0,2,0.9950248756218908
1700000,244876.2675438597,idle,big,1176318.5307017544,2.0,2,0.9950248756218908
1800000,282753.13377192983,idle,big,1213577.3026315789,2.0,2,0.9950248756218908
1900000,328746.88377192983,idle,big,1250227.5219298245,2.0,2,0.9950248756218908
2000000,418786.38157894736,idle,big,1313404.605263158,2.0,2,0.9950248756218908
