frequency,power,task,island,voltage,time,howmany,time_rel
200000,170322.38596491228,cacherate-100,big,914476.4254385964,5.522500000000001,2,0.9649097262667444
300000,232673.2653508772,cacherate-100,big,912722.0394736842,4.049999999999999,2,0.7076295864880605
400000,288698.61842105264,cacherate-100,big,912568.5307017544,3.4066666666666667,2,0.5952242283051835
500000,341477.9583333333,cacherate-100,big,912505.4824561405,3.0283333333333324,2,0.5291205591147349
600000,391963.0833333333,cacherate-100,big,912017.5438596492,2.8575,2,0.4992719860221317
700000,436933.0043859649,cacherate-100,big,912064.144736842,2.7691666666666666,2,0.4838380896913221
800000,484130.6907894737,cacherate-100,big,913930.9210526316,2.739166666666667,2,0.4785963890506699
900000,560751.8903508772,cacherate-100,big,938240.1315789474,2.716666666666667,2,0.4746651135701806
1000000,644262.7236842106,cacherate-100,big,963854.1666666666,2.7,2,0.4717530576587071
1100000,737089.177631579,cacherate-100,big,989827.302631579,2.6941666666666664,2,0.4707338380896913
1200000,835695.4188596491,cacherate-100,big,1015021.9298245612,2.682500000000001,2,0.46869539895166
1300000,943334.548245614,cacherate-100,big,1039893.0921052631,2.6758333333333333,2,0.4675305765870705
1400000,1052040.230263158,cacherate-100,big,1065548.245614035,2.68,2,0.4682585905649389
1500000,1176099.9320175438,cacherate-100,big,1091263.7061403508,2.6791666666666667,2,0.4681129877693652
1600000,1346127.144736842,cacherate-100,big,1129344.846491228,2.679166666666667,2,0.4681129877693653
1700000,1536236.9890350876,cacherate-100,big,1167415.0219298245,2.675,2,0.4673849737914968
1800000,1746605.36622807,cacherate-100,big,1206123.903508772,2.6830000000000003,2,0.4687827606290042
1900000,2048541.8486842103,cacherate-100,big,1257489.035087719,2.688,2,0.4696563774024462
2000000,2465187.442982456,cacherate-100,big,1321178.7280701755,2.648,2,0.4626674432149098
