frequency,power,task,island,voltage,time,howmany,time_rel
200000,9300.024122807015,idle,little,918410.0877192982,2.01,2,1.0
300000,11774.287280701754,idle,little,918294.9561403508,2.0049999999999994,2,0.9975124378109452
400000,14758.600877192985,idle,little,918138.7061403508,2.0016666666666665,2,0.995854063018242
500000,17042.10087719298,idle,little,917853.6184210526,2.0,2,0.9950248756218908
600000,21776.513157894737,idle,little,955000.0,2.0,2,0.9950248756218908
700000,27197.129385964912,idle,little,991302.0833333334,2.0,2,0.9950248756218908
800000,33211.40131578947,idle,little,1028741.7763157894,2.0,2,0.9950248756218908
900000,39912.8201754386,idle,little,1065970.394736842,2.0,2,0.9950248756218908
1000000,47595.25,idle,little,1103662.2807017544,2.0,2,0.9950248756218908
1100000,56105.2149122807,idle,little,1140005.4824561405,2.0,2,0.9950248756218908
1200000,65637.40570175438,idle,little,1177072.3684210526,2.0,2,0.9950248756218908
1300000,78915.68421052632,idle,little,1226250.0,2.0,2,0.9950248756218908
1400000,93868.42324561405,idle,little,1275131.5789473683,2.0,2,0.9950248756218908
1500000,109326.50438596492,idle,little,1312097.0394736845,2.0,2,0.9950248756218908
