power,time,task,howmany,island,frequency,time_rel
3417757.1189279733,7.275555555555554,encrypt,3,cpu,600000,0.9980185947264136
3597235.175879397,6.243333333333333,encrypt,3,cpu,700000,0.8564243255601282
3732826.1306532654,5.462000000000001,encrypt,3,cpu,800000,0.7492455418381346
3870123.370110331,4.853333333333334,encrypt,3,cpu,900000,0.6657521719250117
4011195.24774323,4.37,encrypt,3,cpu,1000000,0.5994513031550069
4155991.5695695695,3.9813333333333327,encrypt,3,cpu,1100000,0.5461362597165066
4300589.0,3.646,encrypt,3,cpu,1200000,0.5001371742112484
4449061.0,3.37,encrypt,3,cpu,1300000,0.4622770919067216
4602182.18018018,3.130666666666666,encrypt,3,cpu,1400000,0.4294467306812985
4761323.0,2.922,encrypt,3,cpu,1500000,0.4008230452674898
