power,time,task,howmany,island,frequency,time_rel
3507137.844611529,4.865,hash,3,cpu,600000,1.0051652892561984
3703510.033444816,4.174444444444444,hash,3,cpu,700000,0.8624885215794307
3860067.067067067,3.658,hash,3,cpu,800000,0.7557851239669422
4015532.37937938,3.252,hash,3,cpu,900000,0.671900826446281
4173780.997,2.9399999999999995,hash,3,cpu,1000000,0.6074380165289255
4330868.998,2.6740000000000004,hash,3,cpu,1100000,0.5524793388429753
4498847.847847848,2.4566666666666674,hash,3,cpu,1200000,0.5075757575757578
4670176.0,2.274666666666667,hash,3,cpu,1300000,0.4699724517906337
4846043.043043043,2.104666666666667,hash,3,cpu,1400000,0.434848484848485
5022309.309309309,1.9733333333333327,hash,3,cpu,1500000,0.4077134986225894
