power,time,task,howmany,island,frequency,time_rel
3506767.879548306,7.398333333333333,gzip-5,3,cpu,600000,1.0213989875747815
3704611.83550652,6.353333333333334,gzip-5,3,cpu,700000,0.8771283939254488
3855471.943887776,5.558666666666667,gzip-5,3,cpu,800000,0.767418315692591
4011021.832160804,4.951333333333334,gzip-5,3,cpu,900000,0.6835710998619422
4167138.963,4.458666666666668,gzip-5,3,cpu,1000000,0.6155545329038198
4328785.998,4.0586666666666655,gzip-5,3,cpu,1100000,0.560331339162448
4495210.210210211,3.714666666666667,gzip-5,3,cpu,1200000,0.5128393925448689
4660293.293293294,3.4346666666666668,gzip-5,3,cpu,1300000,0.4741831569259089
4834088.997,3.198666666666667,gzip-5,3,cpu,1400000,0.4416014726184998
5021026.0,2.989333333333334,gzip-5,3,cpu,1500000,0.4127013345605155
