power,time,task,howmany,island,frequency,time_rel
3506688.442211055,7.400833333333332,gzip-9,3,cpu,600000,1.024100553505535
3706437.751004016,6.334666666666666,gzip-9,3,cpu,700000,0.8765682656826568
3857869.8698698697,5.554666666666667,gzip-9,3,cpu,800000,0.7686346863468635
4011586.690452261,4.945333333333333,gzip-9,3,cpu,900000,0.6843173431734317
4171636.244488978,4.452000000000001,gzip-9,3,cpu,1000000,0.6160516605166053
4329366.2475,4.062500000000001,gzip-9,3,cpu,1100000,0.5621540590405906
4498542.0,3.719333333333333,gzip-9,3,cpu,1200000,0.5146678966789667
4661046.04004004,3.441333333333333,gzip-9,3,cpu,1300000,0.4761992619926199
4837592.592592592,3.2066666666666666,gzip-9,3,cpu,1400000,0.4437269372693727
5019849.997,2.980666666666666,gzip-9,3,cpu,1500000,0.4124538745387453
