power,time,task,howmany,island,frequency,time_rel
3422480.40201005,7.292000000000001,decrypt,3,cpu,600000,1.0000000000000002
3603271.35678392,6.255333333333334,decrypt,3,cpu,700000,0.857835070396782
3739586.3453815263,5.474666666666667,decrypt,3,cpu,800000,0.7507771073322362
3877586.3413654617,4.868,decrypt,3,cpu,900000,0.6675809105869447
4023528.034068137,4.381333333333333,decrypt,3,cpu,1000000,0.6008411044066557
4163993.87,3.98,decrypt,3,cpu,1100000,0.5458036204059243
4311909.819639279,3.648000000000001,decrypt,3,cpu,1200000,0.5002742731760835
4461030.060120241,3.3719999999999994,decrypt,3,cpu,1300000,0.462424574876577
4619268.268268269,3.130666666666667,decrypt,3,cpu,1400000,0.429328944962516
4781551.551551552,2.921333333333334,decrypt,3,cpu,1500000,0.4006216858657891
