[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  21587       tick        127384          2401       1730986 
      2  21587       tick        322620             2       3667756 
      3  21587       tick        602485            11       6421305 
      4  21587       tick        604108             4       6438447 
      5  21587       tick        604043             7       6437658 
      6  21587       tick        604338             6       6440791 
      7  21587       tick        604206             5       6439207 
      8  21587       tick        600358            10       6398464 
      9  21587       tick        601554             8       6410594 
     10  21587       tick        603869             7       6434953 
     11  21587       tick        603160             4       6428358 
     12  21587       tick        602468             5       6420713 
     13  21587       tick        603541             8       6432411 
     14  21587       tick        603371             4       6430581 
     15  21587       tick        603929             4       6436794 
     16  21587       tick        603309             5       6429553 
     17  21587       tick        603919             5       6436003 
     18  21587       tick        602966             4       6426316 
     19  21587       tick        603125             3       6427720 
     20  21587       tick        604142             7       6438542 
     21  21587       tick        602207             5       6417850 
     22  21587       tick        602928             5       6426121 
     23  21587       tick        603641             6       6433777 
     24  21587       tick        601888             5       6415134 
     25  21587       tick        603111             4       6427957 
     26  21587       tick        603086             3       6427406 
     27  21587       tick        603147             3       6428253 
     28  21587       tick        590166             3       6289463 
     29  21587       tick        610305             7       6503871 
     30  21587       tick        601854             6       6413753 
     31  21587       tick        601613             8       6411492 
     32  21587       tick        602148             2       6416263 
     33  21587       tick        603772             5       6434248 
     34  21587       tick        603371             2       6429590 
     35  21587       tick        602847             3       6424893 
     36  21587       tick        603789             3       6434475 
     37  21587       tick        602171             3       6417341 
     38  21587       tick        602170             2       6416912 
     39  21587       tick        602368             5       6419935 
     40  21587       tick        602138             6       6416631 
     41  21587       tick        602526             4       6420576 
     42  21587       tick        602622             4       6422358 
     43  21587       tick        602609             3       6422024 
     44  21587       tick        602631             2       6422640 
     45  21587       tick        602294             3       6419261 
     46  21587       tick        602241             3       6418524 
     47  21587       tick        602378             3       6419694 
     48  21587       tick        602709             2       6424090 
     49  21587       tick        598748             6       6382770 
     50  21587       tick        603499             4       6432090 
     51  21587       tick        603269             3       6429392 
     52  21587       tick        603137             3       6427907 
     53  21587       tick        603579             3       6433503 
     54  21587       tick        603648             4       6433383 
     55  21587       tick        603359             2       6429752 
     56  21587       tick        602958             3       6425457 
     57  21587       tick        604072             3       6437655 
     58  21587       tick        602543             2       6422737 
     59  21587       tick        603955             2       6436587 
     60  21587       tick        603828             5       6435244 
     61  21587       tick        603243             5       6429552 
     62  21587       tick        604290             3       6440276 
     63  21587       tick        601197             4       6407400 
     64  21587       tick        603417             5       6430476 
     65  21587       tick        601835             4       6414654 
     66  21587       tick        603762             2       6434638 
     67  21587       tick        602880             6       6425916 
     68  21587       tick        602386             2       6419855 
     69  21587       tick        599732             4       6391374 
     70  21587       tick        603673             4       6433664 
     71  21587       tick        603665             2       6433137 
     72  21587       tick        602822             2       6424576 
     73  21587       tick        603669             3       6433570 
     74  21587       tick        602121             3       6417260 
     75  21587       tick        603507             2       6431569 
     76  21587       tick        603249             3       6429738 
     77  21587       tick        602645             4       6422006 
     78  21587       tick        603910             4       6436335 
     79  21587       tick        603710             3       6434174 
     80  21587       tick        602893             6       6424758 
     81  21587       tick        603264             6       6429582 
     82  21587       tick        602677             7       6423025 
     83  21587       tick        603328             4       6429826 
     84  21587       tick        602830             3       6424881 
     85  21587       tick        603106             4       6427369 
     86  21587       tick        601492             5       6410218 
     87  21587       tick        603651             6       6432937 
     88  21587       tick        604011             3       6436764 
     89  21587       tick        599757             5       6391700 
     90  21587       tick        603602             4       6433356 
     91  21587       tick        604052             2       6437448 
     92  21587       tick        602726             2       6424473 
     93  21587       tick        602993             3       6427630 
     94  21587       tick        603696             5       6433286 
     95  21587       tick        601967             3       6416698 
     96  21587       tick        602179             6       6417415 
     97  21587       tick        603716             3       6433787 
     98  21587       exit         30819            81        326582 
